Біграма;Кількість;Частота
о ;7902;0.022837
и ;6078;0.017566
е ;5943;0.017176
а ;5698;0.016468
 в;5650;0.016329
 п;5557;0.016060
 н;5390;0.015577
 с;5289;0.015286
то;4935;0.014263
 и;4061;0.011737
ь ;4051;0.011708
 о;3969;0.011471
я ;3910;0.011300
не;3343;0.009662
на;3311;0.009569
ст;3268;0.009445
но;3195;0.009234
по;3099;0.008956
ко;3070;0.008873
 т;2968;0.008578
 к;2812;0.008127
ра;2808;0.008115
 д;2800;0.008092
ни;2690;0.007774
го;2660;0.007688
ро;2599;0.007511
ов;2546;0.007358
м ;2542;0.007347
ал;2482;0.007173
л ;2415;0.006980
 б;2339;0.006760
ка;2324;0.006717
ть;2308;0.006670
у ;2287;0.006610
пр;2283;0.006598
ен;2274;0.006572
от;2274;0.006572
т ;2242;0.006480
во;2160;0.006243
он;2124;0.006139
й ;2116;0.006115
ол;2058;0.005948
в ;2055;0.005939
ер;2053;0.005933
 ч;2036;0.005884
ет;2022;0.005844
 м;2019;0.005835
та;1997;0.005771
ва;1956;0.005653
те;1915;0.005534
ос;1903;0.005500
ак;1901;0.005494
ел;1898;0.005485
ли;1841;0.005321
да;1822;0.005266
ве;1820;0.005260
ри;1817;0.005251
ло;1797;0.005193
 р;1780;0.005144
ла;1775;0.005130
ом;1763;0.005095
ре;1759;0.005084
ль;1753;0.005066
ор;1734;0.005011
од;1710;0.004942
ил;1676;0.004844
к ;1666;0.004815
ас;1647;0.004760
за;1611;0.004656
 у;1565;0.004523
н ;1561;0.004511
 з;1561;0.004511
ес;1539;0.004448
ит;1486;0.004295
же;1485;0.004292
ы ;1482;0.004283
ат;1462;0.004225
де;1453;0.004199
ем;1427;0.004124
ог;1393;0.004026
че;1356;0.003919
с ;1334;0.003855
ме;1333;0.003852
ся;1330;0.003844
чт;1328;0.003838
 е;1320;0.003815
мо;1305;0.003772
ле;1286;0.003717
бы;1281;0.003702
вс;1242;0.003589
до;1232;0.003561
аз;1231;0.003558
ск;1215;0.003511
об;1168;0.003376
се;1141;0.003298
ам;1135;0.003280
ти;1115;0.003222
ег;1101;0.003182
 г;1086;0.003139
ан;1071;0.003095
тр;1066;0.003081
ин;1049;0.003032
ви;1043;0.003014
ой;1011;0.002922
сь;1000;0.002890
ма;979;0.002829
ав;970;0.002803
пе;963;0.002783
ю ;963;0.002783
ну;961;0.002777
х ;940;0.002717
вы;916;0.002647
ед;915;0.002644
ру;912;0.002636
 а;909;0.002627
 э;909;0.002627
ми;908;0.002624
ча;886;0.002561
нн;879;0.002540
им;874;0.002526
эт;871;0.002517
 л;863;0.002494
сл;855;0.002471
ди;841;0.002431
ив;835;0.002413
ны;821;0.002373
ик;817;0.002361
со;814;0.002353
хо;791;0.002286
оч;788;0.002277
 я;773;0.002234
 ж;758;0.002191
ьн;736;0.002127
тв;732;0.002116
ше;732;0.002116
му;729;0.002107
бо;718;0.002075
ис;713;0.002061
ая;712;0.002058
ож;695;0.002009
бе;690;0.001994
ей;683;0.001974
ки;666;0.001925
ар;660;0.001907
ду;652;0.001884
ад;640;0.001850
уд;640;0.001850
сп;626;0.001809
зн;618;0.001786
др;606;0.001751
ыл;601;0.001737
их;597;0.001725
са;594;0.001717
ие;593;0.001714
ту;590;0.001705
ое;576;0.001665
уж;573;0.001656
дн;567;0.001639
ум;562;0.001624
из;560;0.001618
ут;558;0.001613
ят;558;0.001613
