Біграма;Кількість;Частота
то;5061;0.017548
ов;3538;0.012267
не;3413;0.011834
на;3411;0.011827
ст;3310;0.011477
но;3293;0.011418
по;3087;0.010704
ко;3071;0.010648
он;2842;0.009854
от;2834;0.009826
ни;2769;0.009601
ра;2742;0.009507
ен;2694;0.009341
го;2638;0.009147
ос;2634;0.009133
ро;2588;0.008973
ал;2543;0.008817
пр;2314;0.008023
ка;2297;0.007964
ет;2293;0.007951
ер;2262;0.007843
ть;2241;0.007770
во;2229;0.007729
ак;2157;0.007479
ол;2143;0.007430
ас;2130;0.007385
ло;2120;0.007351
та;2108;0.007309
ом;2066;0.007163
ес;2061;0.007146
од;2024;0.007018
ли;1993;0.006910
ор;1988;0.006893
ел;1977;0.006855
те;1974;0.006844
ва;1936;0.006713
ат;1841;0.006383
ри;1836;0.006366
да;1829;0.006342
ит;1821;0.006314
ла;1803;0.006252
ве;1802;0.006248
ре;1770;0.006137
ль;1750;0.006068
ем;1736;0.006019
ил;1732;0.006005
ин;1683;0.005835
ан;1645;0.005704
за;1615;0.005600
об;1557;0.005399
ив;1519;0.005267
же;1495;0.005184
ог;1494;0.005180
мо;1487;0.005156
де;1463;0.005073
ав;1461;0.005066
вс;1417;0.004913
ле;1389;0.004816
аз;1376;0.004771
ме;1364;0.004729
ис;1335;0.004629
чт;1328;0.004605
ам;1321;0.004580
че;1317;0.004566
ск;1306;0.004528
ся;1300;0.004508
ти;1296;0.004494
до;1253;0.004345
ед;1253;0.004345
ег;1250;0.004334
бы;1247;0.004324
оп;1223;0.004241
ик;1194;0.004140
се;1179;0.004088
ьн;1166;0.004043
ви;1131;0.003922
ми;1110;0.003849
тр;1099;0.003811
оч;1088;0.003772
им;1056;0.003661
сь;1029;0.003568
еп;1022;0.003544
ев;1014;0.003516
ой;1012;0.003509
ма;1007;0.003492
пе;978;0.003391
нн;969;0.003360
тв;966;0.003349
ну;954;0.003308
ад;922;0.003197
со;921;0.003193
сл;919;0.003186
ча;901;0.003124
ру;898;0.003114
ок;877;0.003041
ап;867;0.003006
вы;866;0.003003
ож;846;0.002933
ди;842;0.002919
ид;841;0.002916
ар;840;0.002913
эт;840;0.002913
ны;835;0.002895
хо;831;0.002881
му;806;0.002795
ая;806;0.002795
ки;788;0.002732
ое;783;0.002715
ят;772;0.002677
мн;761;0.002639
ше;757;0.002625
из;752;0.002607
сп;744;0.002580
уд;723;0.002507
бо;720;0.002496
ут;709;0.002458
их;705;0.002444
бе;705;0.002444
ие;704;0.002441
ои;704;0.002441
еб;702;0.002434
лс;693;0.002403
ей;692;0.002399
вн;686;0.002379
ич;672;0.002330
ду;665;0.002306
ип;663;0.002299
ае;662;0.002295
ьк;660;0.002288
ее;659;0.002285
ум;659;0.002285
дн;653;0.002264
оо;646;0.002240
уж;646;0.002240
ыл;642;0.002226
ту;639;0.002216
тс;629;0.002181
ьс;626;0.002171
др;617;0.002139
са;616;0.002136
ек;616;0.002136
ез;614;0.002129
зн;608;0.002108
яс;605;0.002098
аж;586;0.002032
ян;583;0.002021
еч;582;0.002018
ня;579;0.002008
ул;577;0.002001
кр;576;0.001997
си;569;0.001973
тн;557;0.001931
ус;553;0.001917
оз;547;0.001897
ир;537;0.001862
лу;523;0.001813
уг;523;0.001813
ии;520;0.001803
чи;514;0.001782
яв;512;0.001775
св;502;0.001741
ля;499;0.001730
сн;497;0.001723
ио;481;0.001668
жи;477;0.001654
иб;476;0.001650
ты;476;0.001650
аи;474;0.001644
ши;468;0.001623
ия;466;0.001616
ач;466;0.001616
ео;463;0.001605
ый;461;0.001598
ще;459;0.001591
бу;456;0.001581
ку;455;0.001578
еи;450;0.001560
ув;445;0.001543
ун;444;0.001539
гл;431;0.001494
ыв;428;0.001484
уп;426;0.001477
аб;420;0.001456
бр;417;0.001446
жа;416;0.001442
ьв;415;0.001439
нь;412;0.001429
ьи;412;0.001429
см;412;0.001429
уч;405;0.001404
ао;403;0.001397
еш;395;0.001370
дв;386;0.001338
гд;382;0.001325
дь;381;0.001321
ий;378;0.001311
ым;375;0.001300
вд;373;0.001293
ук;368;0.001276
аг;366;0.001269
ах;364;0.001262
ьп;364;0.001262
ош;363;0.001259
яп;362;0.001255
ыт;360;0.001248
ыс;358;0.001241
йс;357;0.001238
кн;356;0.001234
оя;352;0.001220
ря;350;0.001214
яд;346;0.001200
ьт;341;0.001182
га;338;0.001172
вп;334;0.001158
зв;333;0.001155
яи;330;0.001144
ещ;326;0.001130
сё;324;0.001123
рь;323;0.001120
лн;322;0.001116
па;321;0.001113
иц;320;0.001110
еж;319;0.001106
ял;319;0.001106
сс;315;0.001092
ша;313;0.001085
аш;312;0.001082
су;311;0.001078
аю;308;0.001068
чн;307;0.001064
уб;303;0.001051
мс;301;0.001044
кт;297;0.001030
мы;294;0.001019
ры;293;0.001016
ьм;283;0.000981
хи;283;0.000981
пи;283;0.000981
ай;282;0.000978
иг;282;0.000978
мп;281;0.000974
ые;279;0.000967
ьо;273;0.000947
це;271;0.000940
ье;271;0.000940
ых;270;0.000936
ую;270;0.000936
би;268;0.000929
ву;266;0.000922
пу;265;0.000919
ох;264;0.000915
вл;263;0.000912
жн;257;0.000891
зу;257;0.000891
рт;256;0.000888
йн;255;0.000884
оу;254;0.000881
ья;254;0.000881
рн;252;0.000874
нс;252;0.000874
лю;251;0.000870
вр;251;0.000870
ех;249;0.000863
як;248;0.000860
кс;246;0.000853
вш;244;0.000846
ба;242;0.000839
кв;242;0.000839
зд;241;0.000836
иш;240;0.000832
нт;238;0.000825
яо;238;0.000825
вз;237;0.000822
мв;236;0.000818
ют;234;0.000811
чу;234;0.000811
лв;233;0.000808
йт;233;0.000808
шь;233;0.000808
тк;231;0.000801
вт;227;0.000787
тп;225;0.000780
бя;222;0.000770
еу;221;0.000766
жд;217;0.000752
ям;216;0.000749
лы;216;0.000749
зо;216;0.000749
гр;215;0.000745
йп;214;0.000742
пя;214;0.000742
ги;213;0.000739
лп;213;0.000739
тч;213;0.000739
бл;210;0.000728
пл;210;0.000728
уш;210;0.000728
ьч;210;0.000728
кл;204;0.000707
вк;204;0.000707
лк;202;0.000700
ын;202;0.000700
йд;201;0.000697
нв;198;0.000687
уи;197;0.000683
ою;197;0.000683
чк;197;0.000683
лч;196;0.000680
ур;195;0.000676
нп;194;0.000673
щи;190;0.000659
ца;184;0.000638
тя;183;0.000635
дл;183;0.000635
иу;182;0.000631
ьд;182;0.000631
йи;179;0.000621
шк;179;0.000621
дя;175;0.000607
йк;175;0.000607
кб;175;0.000607
ке;174;0.000603
ьз;173;0.000600
шл;172;0.000596
яз;171;0.000593
гу;171;0.000593
нд;170;0.000589
яр;170;0.000589
ыш;170;0.000589
йч;170;0.000589
нк;169;0.000586
яч;169;0.000586
уз;166;0.000576
ух;166;0.000576
рв;163;0.000565
ып;163;0.000565
ау;162;0.000562
тт;156;0.000541
шн;155;0.000537
юс;152;0.000527
ха;152;0.000527
ды;150;0.000520
мя;149;0.000517
хв;147;0.000510
юд;147;0.000510
иж;147;0.000510
йв;146;0.000506
ща;144;0.000499
хе;144;0.000499
ыи;143;0.000496
лр;143;0.000496
мк;142;0.000492
яе;140;0.000485
мт;140;0.000485
ге;139;0.000482
ьб;138;0.000478
зи;136;0.000472
лт;136;0.000472
вв;135;0.000468
ыр;133;0.000461
ея;132;0.000458
яб;132;0.000458
мд;131;0.000454
фи;130;0.000451
