Біграма;Кількість;Частота
о ;15812;0.022849
и ;12093;0.017475
е ;11842;0.017112
а ;11584;0.016739
 в;11401;0.016475
 п;11052;0.015971
 н;10720;0.015491
 с;10528;0.015213
то;9721;0.014047
 и;8165;0.011799
ь ;8149;0.011776
 о;7892;0.011404
я ;7841;0.011331
на;6773;0.009787
не;6683;0.009657
ст;6542;0.009453
но;6461;0.009336
по;6210;0.008974
ко;6040;0.008728
 т;6035;0.008721
 к;5656;0.008173
 д;5596;0.008086
ра;5466;0.007899
ни;5352;0.007734
ов;5263;0.007605
го;5188;0.007497
м ;5079;0.007339
ро;5011;0.007241
ал;4902;0.007084
л ;4827;0.006975
 б;4699;0.006790
от;4661;0.006735
ка;4657;0.006730
у ;4657;0.006730
пр;4652;0.006722
ть;4515;0.006524
ен;4497;0.006498
т ;4426;0.006396
он;4291;0.006201
й ;4257;0.006152
во;4248;0.006139
ер;4150;0.005997
 ч;4115;0.005946
ол;4095;0.005917
ет;4076;0.005890
та;4035;0.005831
в ;4007;0.005790
 м;4006;0.005789
ос;3893;0.005626
те;3851;0.005565
ва;3845;0.005556
ел;3791;0.005478
ак;3748;0.005416
ри;3672;0.005306
ор;3611;0.005218
 р;3594;0.005193
ли;3585;0.005180
ве;3568;0.005156
ом;3560;0.005144
да;3554;0.005136
ло;3549;0.005128
ре;3512;0.005075
ль;3493;0.005048
ла;3478;0.005026
од;3405;0.004920
ил;3342;0.004829
к ;3341;0.004828
ас;3238;0.004679
за;3216;0.004647
 з;3126;0.004517
 у;3105;0.004487
н ;3096;0.004474
ит;2989;0.004319
ес;2988;0.004318
ат;2963;0.004282
же;2935;0.004241
ы ;2922;0.004222
ем;2858;0.004130
де;2844;0.004110
ог;2719;0.003929
чт;2679;0.003871
 е;2655;0.003837
че;2628;0.003798
ся;2615;0.003779
с ;2613;0.003776
мо;2604;0.003763
ме;2598;0.003754
ле;2593;0.003747
бы;2507;0.003623
аз;2482;0.003587
ск;2479;0.003582
до;2455;0.003548
вс;2446;0.003535
об;2367;0.003420
се;2318;0.003350
ег;2282;0.003298
ти;2231;0.003224
ам;2222;0.003211
 г;2209;0.003192
ан;2168;0.003133
ин;2148;0.003104
тр;2064;0.002983
сь;2056;0.002971
ви;2021;0.002920
ой;2015;0.002912
ю ;2007;0.002900
ма;2004;0.002896
пе;1927;0.002785
ав;1924;0.002780
ед;1912;0.002763
ми;1881;0.002718
х ;1878;0.002714
ну;1868;0.002699
 э;1846;0.002668
ру;1845;0.002666
 а;1805;0.002608
вы;1777;0.002568
сл;1769;0.002556
ча;1741;0.002516
им;1722;0.002488
нн;1714;0.002477
эт;1713;0.002475
 л;1708;0.002468
ив;1694;0.002448
со;1662;0.002402
ик;1659;0.002397
ди;1647;0.002380
ны;1644;0.002376
хо;1600;0.002312
 я;1557;0.002250
оч;1536;0.002220
тв;1496;0.002162
 ж;1494;0.002159
ше;1490;0.002153
ьн;1484;0.002144
ая;1444;0.002087
му;1433;0.002071
ож;1424;0.002058
бо;1417;0.002048
бе;1408;0.002035
ки;1380;0.001994
ис;1379;0.001993
ей;1375;0.001987
ар;1319;0.001906
ду;1318;0.001905
ыл;1278;0.001847
уд;1270;0.001835
ад;1270;0.001835
их;1228;0.001775
сп;1209;0.001747
зн;1190;0.001720
др;1189;0.001718
дн;1189;0.001718
са;1187;0.001715
уж;1178;0.001702
из;1176;0.001699
ие;1174;0.001696
ое;1154;0.001668
ту;1145;0.001655
ят;1126;0.001627
ут;1115;0.001611
ум;1103;0.001594
ее;1102;0.001592
ид;1085;0.001568
ул;1084;0.001566
мн;1080;0.001561
аж;1060;0.001532
ок;1059;0.001530
ня;1047;0.001513
кр;1042;0.001506
чи;1041;0.001504
 х;1030;0.001488
ае;1017;0.001470
оп;1011;0.001461
си;1011;0.001461
ты;1003;0.001449
вн;985;0.001423
лс;981;0.001418
лу;978;0.001413
ич;977;0.001412
уг;962;0.001390
ши;950;0.001373
ще;920;0.001329
ля;918;0.001327
жи;909;0.001314
ый;904;0.001306
тс;904;0.001306
гл;882;0.001275
ьк;881;0.001273
еб;877;0.001267
з ;873;0.001262
жа;858;0.001240
бр;849;0.001227
бу;847;0.001224
нь;838;0.001211
еч;838;0.001211
ку;831;0.001201
св;817;0.001181
ек;812;0.001173
ия;809;0.001169
ез;792;0.001144
ев;787;0.001137
еп;783;0.001131
тн;770;0.001113
еш;755;0.001091
см;730;0.001055
дь;728;0.001052
г ;711;0.001027
гд;706;0.001020
ус;705;0.001019
ир;700;0.001012
ря;700;0.001012
ий;696;0.001006
ош;692;0.001000
дв;674;0.000974
рь;664;0.000960
ё ;660;0.000954
га;652;0.000942
сё;650;0.000939
ша;646;0.000933
ах;639;0.000923
ещ;639;0.000923
оз;634;0.000916
сн;631;0.000912
аю;624;0.000902
д ;614;0.000887
па;611;0.000883
иц;610;0.000881
ьс;606;0.000876
зв;598;0.000864
р ;597;0.000863
вд;595;0.000860
аш;594;0.000858
ач;592;0.000855
ым;592;0.000855
ры;590;0.000853
пи;579;0.000837
мы;572;0.000827
ыв;571;0.000825
чн;556;0.000803
ял;556;0.000803
ых;549;0.000793
пу;547;0.000790
би;547;0.000790
ап;547;0.000790
це;543;0.000785
уч;529;0.000764
лю;526;0.000760
еж;525;0.000759
ую;519;0.000750
ыт;517;0.000747
зу;506;0.000731
ай;505;0.000730
рт;500;0.000723
аг;499;0.000721
ые;492;0.000711
рн;490;0.000708
жн;481;0.000695
уб;479;0.000692
зд;478;0.000691
су;477;0.000689
ж ;474;0.000685
ба;473;0.000684
яс;469;0.000678
иб;460;0.000665
ук;456;0.000659
шь;455;0.000657
чу;450;0.000650
бл;445;0.000643
сс;442;0.000639
ув;438;0.000633
ыс;437;0.000631
вш;436;0.000630
иш;436;0.000630
уп;434;0.000627
хи;434;0.000627
лы;433;0.000626
жд;430;0.000621
ои;429;0.000620
пя;426;0.000616
оя;422;0.000610
гр;421;0.000608
кт;421;0.000608
пл;414;0.000598
бя;413;0.000597
вл;412;0.000595
 ш;411;0.000594
ву;410;0.000592
ою;407;0.000588
уш;406;0.000587
кн;401;0.000579
ии;399;0.000577
аб;394;0.000569
ют;394;0.000569
ян;388;0.000561
ги;382;0.000552
ца;376;0.000543
дл;373;0.000539
зо;371;0.000536
щи;371;0.000536
чк;360;0.000520
вз;360;0.000520
кл;357;0.000516
ун;355;0.000513
ех;354;0.000512
шл;352;0.000509
ья;349;0.000504
ох;348;0.000503
шк;345;0.000499
яд;341;0.000493
иг;340;0.000491
 ф;338;0.000488
ыш;337;0.000487
вр;327;0.000473
дя;320;0.000462
гу;319;0.000461
йт;316;0.000457
нт;315;0.000455
 ц;308;0.000445
йс;300;0.000434
ды;297;0.000429
ьт;295;0.000426
ур;294;0.000425
тя;288;0.000416
ух;285;0.000412
шн;285;0.000412
ке;282;0.000408
ье;281;0.000406
ха;280;0.000405
ьм;279;0.000403
б ;279;0.000403
рв;274;0.000396
зя;274;0.000396
вп;273;0.000394
фи;269;0.000389
ща;269;0.000389
ч ;254;0.000367
зи;251;0.000363
сч;250;0.000361
хе;250;0.000361
тк;245;0.000354
зг;237;0.000342
ге;230;0.000332
ию;228;0.000329
ям;227;0.000328
ью;226;0.000327
рм;225;0.000325
мя;224;0.000324
лж;222;0.000321
ьш;220;0.000318
рф;218;0.000315
ц ;217;0.000314
тч;216;0.000312
нд;213;0.000308
дт;208;0.000301
рд;205;0.000296
ци;205;0.000296
кс;202;0.000292
ец;201;0.000290
зы;198;0.000286
юд;197;0.000285
юб;195;0.000282
йн;195;0.000282
дс;194;0.000280
яв;191;0.000276
бн;187;0.000270
ущ;186;0.000269
гн;185;0.000267
уз;184;0.000266
лк;184;0.000266
дц;182;0.000263
йд;182;0.000263
нс;180;0.000260
зр;180;0.000260
зл;175;0.000253
ащ;174;0.000251
ео;173;0.000250
кв;171;0.000247
вт;170;0.000246
ыр;170;0.000246
жу;170;0.000246
нк;169;0.000244
лн;168;0.000243
сю;168;0.000243
чь;168;0.000243
иж;167;0.000241
ощ;163;0.000236
уй;163;0.000236
оо;159;0.000230
пы;157;0.000227
рж;157;0.000227
рш;157;0.000227
дк;156;0.000225
ип;156;0.000225
фа;154;0.000223
тл;150;0.000217
ея;147;0.000212
лч;147;0.000212
вч;146;0.000211
вя;145;0.000210
ею;145;0.000210
сы;144;0.000208
ню;143;0.000207
яз;143;0.000207
цу;142;0.000205
сх;141;0.000204
уе;139;0.000201
юс;139;0.000201
сд;138;0.000199
зе;137;0.000198
шу;133;0.000192
шо;132;0.000191
рю;132;0.000191
ио;131;0.000189
хв;128;0.000185
фо;127;0.000184
зм;127;0.000184
цы;124;0.000179
рк;123;0.000178
йш;122;0.000176
ющ;122;0.000176
йч;122;0.000176
цо;119;0.000172
нч;118;0.000171
ср;118;0.000171
ьх;118;0.000171
бс;118;0.000171
як;116;0.000168
вь;114;0.000165
бщ;114;0.000165
пь;113;0.000163
йк;112;0.000162
нц;112;0.000162
ях;112;0.000162
ьз;109;0.000158
ъя;108;0.000156
еу;107;0.000155
рг;106;0.000153
ыб;106;0.000153
ык;105;0.000152
хн;105;0.000152
яч;104;0.000150
щу;101;0.000146
мт;101;0.000146
рс;97;0.000140
яе;94;0.000136
ын;94;0.000136
чш;93;0.000134
ху;91;0.000131
ищ;90;0.000130
аи;89;0.000129
ыд;89;0.000129
ящ;88;0.000127
лг;88;0.000127
еи;88;0.000127
лт;87;0.000126
яю;86;0.000124
ьи;86;0.000124
тт;86;0.000124
ып;86;0.000124
ыг;85;0.000123
бъ;85;0.000123
оф;84;0.000121
фу;83;0.000120
бк;82;0.000118
вк;80;0.000116
вм;79;0.000114
ьг;79;0.000114
ыч;79;0.000114
хл;79;0.000114
иф;77;0.000111
жк;77;0.000111
яж;76;0.000110
тю;75;0.000108
эр;75;0.000108
оу;75;0.000108
мь;74;0.000107
рп;73;0.000105
сб;72;0.000104
яй;70;0.000101
зь;70;0.000101
пн;70;0.000101
юч;69;0.000100
 й;68;0.000098
зк;68;0.000098
рб;67;0.000097
хр;66;0.000095
зб;64;0.000092
йе;63;0.000091
рх;63;0.000091
яя;63;0.000091
ьч;63;0.000091
йл;62;0.000090
мл;62;0.000090
мс;62;0.000090
фэ;60;0.000087
яр;59;0.000085
тп;59;0.000085
хм;59;0.000085
оц;59;0.000085
юш;59;0.000085
тд;57;0.000082
фр;56;0.000081
мк;55;0.000079
ац;55;0.000079
рч;55;0.000079
пк;54;0.000078
ьф;53;0.000077
дп;53;0.000077
мг;53;0.000077
яц;53;0.000077
 щ;52;0.000075
мп;50;0.000072
дш;50;0.000072
нщ;50;0.000072
чо;50;0.000072
лл;49;0.000071
рр;49;0.000071
ьб;49;0.000071
дм;49;0.000071
вх;45;0.000065
хт;44;0.000064
дд;43;0.000062
тц;43;0.000062
пт;42;0.000061
сш;41;0.000059
аа;41;0.000059
рл;41;0.000059
лп;41;0.000059
яг;40;0.000058
аф;40;0.000058
юр;39;0.000056
шт;39;0.000056
уя;39;0.000056
ш ;39;0.000056
чр;39;0.000056
нф;38;0.000055
ьц;38;0.000055
нр;38;0.000055
щь;37;0.000053
фе;37;0.000053
зж;37;0.000053
иа;37;0.000053
ау;37;0.000053
 ю;37;0.000053
бх;37;0.000053
жь;36;0.000052
яп;36;0.000052
пп;34;0.000049
бм;34;0.000049
дч;34;0.000049
нг;33;0.000048
п ;33;0.000048
йм;33;0.000048
гк;33;0.000048
дх;33;0.000048
эк;32;0.000046
сц;32;0.000046
гм;32;0.000046
мч;32;0.000046
юм;32;0.000046
мр;32;0.000046
фь;32;0.000046
бь;30;0.000043
юн;30;0.000043
юю;30;0.000043
йц;29;0.000042
ыз;29;0.000042
щн;28;0.000040
дж;27;0.000039
рз;27;0.000039
эх;27;0.000039
эл;26;0.000038
зз;26;0.000038
лд;25;0.000036
бв;24;0.000035
вв;23;0.000033
ьщ;23;0.000033
фг;22;0.000032
аэ;22;0.000032
еа;22;0.000032
зъ;22;0.000032
уа;21;0.000030
цв;21;0.000030
тм;20;0.000029
дб;20;0.000029
эн;19;0.000027
эд;19;0.000027
ъе;19;0.000027
жо;18;0.000026
гы;18;0.000026
жб;18;0.000026
ыж;18;0.000026
сг;18;0.000026
сж;18;0.000026
фы;17;0.000025
ьд;17;0.000025
тэ;17;0.000025
уи;17;0.000025
лб;17;0.000025
юж;16;0.000023
яи;16;0.000023
вц;16;0.000023
тщ;16;0.000023
цк;16;0.000023
гч;16;0.000023
пс;16;0.000023
кж;15;0.000022
эй;15;0.000022
лш;15;0.000022
кх;15;0.000022
ьв;14;0.000020
рц;14;0.000020
вг;14;0.000020
ёт;13;0.000019
её;13;0.000019
еф;13;0.000019
хс;13;0.000019
йб;13;0.000019
пч;13;0.000019
юк;13;0.000019
ф ;12;0.000017
яб;12;0.000017
мм;12;0.000017
зп;12;0.000017
фт;12;0.000017
тф;11;0.000016
чл;11;0.000016
лв;11;0.000016
дю;11;0.000016
иу;11;0.000016
гт;11;0.000016
мб;11;0.000016
гв;11;0.000016
зч;11;0.000016
дз;11;0.000016
лм;10;0.000014
э ;10;0.000014
ён;10;0.000014
рщ;10;0.000014
шм;10;0.000014
тг;9;0.000013
бд;9;0.000013
тз;9;0.000013
кш;9;0.000013
ао;9;0.000013
тх;9;0.000013
съ;9;0.000013
жл;9;0.000013
цт;9;0.000013
фф;8;0.000012
зт;8;0.000012
гс;8;0.000012
бч;8;0.000012
яш;8;0.000012
тъ;8;0.000012
мф;8;0.000012
ээ;8;0.000012
уф;7;0.000010
нв;7;0.000010
фл;7;0.000010
зш;7;0.000010
хш;7;0.000010
сз;7;0.000010
жс;7;0.000010
бш;7;0.000010
ыя;6;0.000009
эм;6;0.000009
юз;6;0.000009
эс;6;0.000009
мц;6;0.000009
пш;6;0.000009
хз;6;0.000009
нз;6;0.000009
ыи;6;0.000009
юх;6;0.000009
кз;5;0.000007
оэ;5;0.000007
жр;5;0.000007
ём;5;0.000007
зс;5;0.000007
эв;5;0.000007
кц;5;0.000007
тш;5;0.000007
лз;5;0.000007
пц;5;0.000007
мш;5;0.000007
дг;5;0.000007
нб;5;0.000007
уо;4;0.000006
пэ;4;0.000006
щё;4;0.000006
аё;4;0.000006
нх;4;0.000006
ьо;4;0.000006
фм;4;0.000006
ыу;4;0.000006
нш;4;0.000006
щ ;4;0.000006
уц;4;0.000006
км;4;0.000006
жм;4;0.000006
жж;4;0.000006
кк;4;0.000006
ыщ;4;0.000006
тб;4;0.000006
вё;3;0.000004
хэ;3;0.000004
фс;3;0.000004
йо;3;0.000004
сф;3;0.000004
шп;3;0.000004
чё;3;0.000004
мё;3;0.000004
тё;3;0.000004
ёк;3;0.000004
оа;3;0.000004
юл;3;0.000004
юв;3;0.000004
мд;3;0.000004
шв;3;0.000004
бт;3;0.000004
эг;3;0.000004
бю;3;0.000004
дэ;2;0.000003
пё;2;0.000003
ёс;2;0.000003
оё;2;0.000003
жч;2;0.000003
бё;2;0.000003
йр;2;0.000003
эп;2;0.000003
лё;2;0.000003
мв;2;0.000003
гг;2;0.000003
цм;2;0.000003
дщ;2;0.000003
вй;2;0.000003
лф;2;0.000003
зю;2;0.000003
въ;2;0.000003
щр;2;0.000003
йф;2;0.000003
дё;2;0.000003
эф;2;0.000003
йа;2;0.000003
рэ;1;0.000001
лх;1;0.000001
эи;1;0.000001
нм;1;0.000001
рё;1;0.000001
йя;1;0.000001
ёл;1;0.000001
юг;1;0.000001
нё;1;0.000001
ёр;1;0.000001
иэ;1;0.000001
жц;1;0.000001
дъ;1;0.000001
бц;1;0.000001
юи;1;0.000001
цч;1;0.000001
юй;1;0.000001
рй;1;0.000001
лщ;1;0.000001
уу;1;0.000001
чч;1;0.000001
ыц;1;0.000001
кп;1;0.000001
вб;1;0.000001
кй;1;0.000001
бж;1;0.000001
жг;1;0.000001
вщ;1;0.000001
хк;1;0.000001
бб;1;0.000001
нж;1;0.000001
сщ;1;0.000001
мю;1;0.000001
жт;1;0.000001
фк;1;0.000001
