Літера;Кількість;Частота
о;65358;0.113308
е;48944;0.084852
а;46206;0.080105
и;38015;0.065905
т;37491;0.064996
н;36914;0.063996
с;30368;0.052648
в;26551;0.046030
л;26436;0.045831
р;25143;0.043589
к;19184;0.033258
д;18285;0.031700
м;18047;0.031287
у;17034;0.029531
п;15915;0.027591
ь;13423;0.023271
я;12315;0.021350
ч;10074;0.017465
б;9931;0.017217
г;9807;0.017002
ы;9481;0.016437
з;9143;0.015851
ж;6440;0.011165
й;5816;0.010083
х;5044;0.008745
ш;4882;0.008464
ю;3363;0.005830
э;1969;0.003414
ц;1775;0.003077
щ;1736;0.003010
ф;904;0.001567
ё;695;0.001205
ъ;127;0.000220
