,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,294,1172,4825,1028,2882,1869,1932,4225,1548,949,6963,7987,4330,5673,1257,2620,2480,6822,5830,575,99,1196,93,1661,1003,290,0,0,316,951,2430
б,670,5,83,0,26,2311,4,14,938,0,148,805,48,323,2200,11,1307,250,25,1429,0,51,1,41,12,252,3942,199,93,8,684
в,6337,191,440,289,1183,5731,55,699,3740,4,620,748,247,2274,7303,1068,903,4788,769,877,17,113,34,352,733,14,2914,166,295,4,256
г,1100,25,150,28,1232,286,5,59,725,0,108,1404,69,390,8657,168,646,139,45,505,4,5,0,52,2,0,0,0,8,4,11
д,5592,62,1057,28,90,4801,28,55,2611,0,306,670,112,2153,4169,172,2015,440,315,2167,2,50,281,90,89,2,480,1109,22,9,465
е,273,2310,3617,4003,4135,2268,1094,1993,1516,2387,2033,6503,5620,9351,1597,3512,7092,7222,7207,743,69,846,384,1909,1139,1008,0,0,420,261,479
ж,1310,55,51,9,855,4765,12,14,1454,0,182,28,19,891,98,51,14,60,46,305,0,1,1,22,0,0,0,54,38,2,27
з,4959,166,1088,390,844,240,61,61,446,0,237,279,331,2060,627,164,292,144,109,689,3,8,12,59,11,3,310,150,25,2,453
и,363,1491,4777,922,2896,2478,425,2496,1757,1234,3671,5449,3388,5374,1550,2236,1494,4370,5630,574,73,2149,954,2367,716,160,0,0,232,383,1730
й,106,225,557,225,659,93,112,151,611,0,509,330,367,918,382,733,329,1243,732,161,47,65,65,508,250,3,0,0,91,10,66
к,7545,540,715,83,228,508,149,92,2767,2,242,642,184,1095,10020,375,1775,711,1015,1405,10,75,19,203,28,4,0,0,97,1,104
л,5942,255,688,263,300,4694,348,180,6493,0,632,150,147,931,6867,638,389,2107,399,1725,21,35,5,576,24,3,622,5205,97,843,1529
м,3456,282,800,258,451,4403,151,213,3576,1,437,213,251,2422,4611,908,346,1004,476,2590,50,73,17,386,41,4,953,84,115,7,533
н,11103,244,571,111,494,10966,25,149,9173,1,490,58,124,3277,11128,513,303,818,700,3120,45,53,213,342,25,93,2993,1264,49,227,1916
о,238,5222,11716,5159,6557,2785,2774,1688,2163,3281,2833,6800,6802,9230,2082,3939,6151,8820,8824,863,267,732,207,3426,1117,255,0,0,399,633,1213
п,865,8,2,8,4,3113,0,3,1013,0,77,799,1,128,9927,39,7488,77,75,814,0,2,12,24,7,0,235,166,0,0,590
р,8373,181,484,210,356,5953,277,66,5719,1,253,75,339,816,8086,282,40,224,743,2813,297,73,19,115,252,15,941,998,8,204,1079
с,1969,232,1830,96,428,4809,230,89,1706,1,4502,3075,1347,1413,3362,2241,283,1064,11448,960,15,253,68,483,106,4,229,3243,69,270,3895
т,6445,383,3135,102,432,6621,115,160,4310,0,684,303,250,1778,16416,591,3490,1735,421,2106,14,52,74,616,26,32,1469,7040,130,88,527
у,246,1032,1419,1671,2483,327,2004,414,603,225,1024,1617,1991,1378,423,1491,731,1732,2065,141,37,506,19,1303,641,335,0,0,103,873,210
ф,246,1,2,0,2,68,0,0,349,0,7,12,16,1,129,7,81,20,13,108,9,0,0,2,1,0,23,107,0,0,0
х,506,127,474,108,215,396,37,77,845,0,165,227,174,405,2655,422,189,350,186,263,11,16,9,89,42,2,0,0,56,1,34
ц,568,9,61,6,14,882,2,9,280,0,40,4,14,34,228,57,14,29,29,206,2,2,0,16,2,0,186,0,6,1,8
ч,2742,20,61,12,25,4343,1,11,1758,0,561,23,15,995,113,56,114,36,4419,733,0,7,0,11,145,0,0,257,5,0,10
ш,952,4,15,2,4,2291,1,2,1495,0,473,557,13,445,199,6,4,5,48,218,1,0,1,1,1,0,0,638,0,0,2
щ,422,0,1,0,0,1597,0,0,639,0,0,0,0,55,1,0,4,0,0,168,0,0,0,0,0,0,0,41,0,0,0
ы,53,346,1325,189,407,993,71,200,452,1351,371,2063,1276,665,280,490,338,1163,1110,133,5,1036,6,317,498,14,0,0,90,1,54
ь,257,472,1259,291,575,920,95,464,1278,0,2060,188,740,3838,839,1110,280,1953,897,268,41,268,94,670,337,33,0,0,211,361,922
э,1,1,6,9,7,0,0,1,0,15,50,8,3,24,0,35,2,10,2970,0,9,42,0,2,0,0,0,0,13,0,0
ю,77,401,279,61,503,57,83,84,279,1,235,61,180,295,203,329,188,515,571,75,21,30,19,266,78,257,0,0,50,42,56
я,291,418,1676,266,1155,423,273,554,1095,95,721,1030,714,1956,767,1213,510,1869,2428,310,34,342,102,564,52,145,0,0,170,110,233
