,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.00031729,0.00126486,0.00520729,0.00110945,0.00311035,0.00201708,0.00208508,0.00455975,0.00167065,0.00102419,0.00751469,0.00861982,0.00467307,0.00612248,0.00135659,0.00282759,0.00267649,0.00736252,0.00629192,0.00062056,0.00010684,0.00129076,0.00010037,0.0017926,0.00108247,0.00031298,0.0,0.0,0.00034104,0.00102635,0.00262253
б,0.00072309,5.4e-06,8.958e-05,0.0,2.806e-05,0.0024941,4.32e-06,1.511e-05,0.00101232,0.0,0.00015973,0.00086878,5.18e-05,0.00034859,0.00237431,1.187e-05,0.00141056,0.00026981,2.698e-05,0.00154222,0.0,5.504e-05,1.08e-06,4.425e-05,1.295e-05,0.00027197,0.00425433,0.00021477,0.00010037,8.63e-06,0.00073819
в,0.00683909,0.00020613,0.00047486,0.0003119,0.00127673,0.00618508,5.936e-05,0.00075438,0.00403633,4.32e-06,0.00066912,0.00080727,0.00026657,0.00245417,0.00788163,0.00115262,0.00097455,0.00516736,0.00082993,0.00094649,1.835e-05,0.00012195,3.669e-05,0.00037989,0.00079108,1.511e-05,0.00314488,0.00017915,0.00031837,4.32e-06,0.00027628
г,0.00118715,2.698e-05,0.00016188,3.022e-05,0.00132961,0.00030866,5.4e-06,6.367e-05,0.00078244,0.0,0.00011656,0.00151524,7.447e-05,0.0004209,0.00934291,0.00018131,0.00069718,0.00015001,4.857e-05,0.00054501,4.32e-06,5.4e-06,0.0,5.612e-05,2.16e-06,0.0,0.0,0.0,8.63e-06,4.32e-06,1.187e-05
д,0.00603506,6.691e-05,0.00114075,3.022e-05,9.713e-05,0.00518139,3.022e-05,5.936e-05,0.00281787,0.0,0.00033024,0.00072309,0.00012087,0.00232359,0.00449932,0.00018563,0.00217465,0.00047486,0.00033996,0.0023387,2.16e-06,5.396e-05,0.00030326,9.713e-05,9.605e-05,2.16e-06,0.00051803,0.00119687,2.374e-05,9.71e-06,0.00050184
е,0.00029463,0.00249303,0.00390358,0.00432016,0.00446262,0.0024477,0.00118068,0.00215091,0.00163612,0.00257613,0.00219408,0.00701824,0.00606528,0.0100919,0.00172353,0.00379026,0.00765391,0.00779421,0.00777802,0.00080187,7.447e-05,0.00091303,0.00041443,0.00206025,0.00122925,0.00108787,0.0,0.0,0.00045328,0.00028168,0.00051695
ж,0.00141379,5.936e-05,5.504e-05,9.71e-06,0.00092274,0.00514254,1.295e-05,1.511e-05,0.0015692,0.0,0.00019642,3.022e-05,2.051e-05,0.0009616,0.00010576,5.504e-05,1.511e-05,6.475e-05,4.964e-05,0.00032917,0.0,1.08e-06,1.08e-06,2.374e-05,0.0,0.0,0.0,5.828e-05,4.101e-05,2.16e-06,2.914e-05
з,0.00535191,0.00017915,0.0011742,0.0004209,0.00091087,0.00025902,6.583e-05,6.583e-05,0.00048134,0.0,0.00025578,0.00030111,0.00035723,0.00222322,0.00067668,0.00017699,0.00031514,0.00015541,0.00011764,0.00074359,3.24e-06,8.63e-06,1.295e-05,6.367e-05,1.187e-05,3.24e-06,0.00033456,0.00016188,2.698e-05,2.16e-06,0.00048889
и,0.00039176,0.00160913,0.00515549,0.00099505,0.00312546,0.00267434,0.00045867,0.00269376,0.00189621,0.00133177,0.00396186,0.00588073,0.00365644,0.00579979,0.00167281,0.00241316,0.00161237,0.00471624,0.00607608,0.00061948,7.878e-05,0.00231927,0.00102959,0.00255454,0.00077273,0.00017268,0.0,0.0,0.00025038,0.00041335,0.00186707
й,0.0001144,0.00024283,0.00060113,0.00024283,0.00071121,0.00010037,0.00012087,0.00016296,0.00065941,0.0,0.00054933,0.00035615,0.00039608,0.00099073,0.00041227,0.00079108,0.00035507,0.00134149,0.00079,0.00017376,5.072e-05,7.015e-05,7.015e-05,0.00054825,0.00026981,3.24e-06,0.0,0.0,9.821e-05,1.079e-05,7.123e-05
