,Frequency,Probability
а,73301,0.07910869
б,15880,0.01713818
в,43164,0.04658391
г,15827,0.01708098
д,29442,0.03177471
е,80991,0.08740797
ж,10364,0.01118515
з,14223,0.0153499
и,61339,0.06619893
й,9548,0.01030449
к,30634,0.03306115
л,42108,0.04544424
м,29112,0.03141856
н,60588,0.06538843
о,106176,0.11458839
п,25477,0.02749556
р,39292,0.04240513
с,49720,0.05365935
т,59545,0.06426279
у,27044,0.02918671
ф,1204,0.00129939
х,8081,0.00872126
ц,2709,0.00292364
ч,16473,0.01777817
ш,7378,0.00796256
щ,2928,0.00315999
ы,15297,0.01650899
ь,20721,0.02236274
э,3208,0.00346217
ю,5296,0.00571561
я,19516,0.02106227
