,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,140,605,2418,505,1433,905,969,2117,766,465,3405,3952,2195,2887,628,1320,1255,3356,2976,297,52,594,49,817,495,147,0,0,154,495,1215
б,348,2,44,0,14,1109,3,9,467,0,69,407,27,171,1091,4,668,112,15,697,0,29,1,22,7,118,1921,91,49,4,347
в,3208,92,218,129,579,2920,25,362,1839,0,309,358,117,1131,3670,513,466,2375,400,456,7,59,20,179,350,5,1463,79,128,2,118
г,541,17,74,15,610,136,4,28,378,0,52,709,37,202,4365,85,318,66,14,246,3,3,0,31,1,0,0,0,3,2,4
д,2723,33,528,12,42,2378,13,34,1317,0,164,340,59,1077,2122,92,1031,214,138,1050,1,27,144,47,53,1,238,532,13,4,213
е,135,1177,1836,1985,2067,1154,550,1016,726,1186,1007,3249,2838,4671,835,1812,3491,3610,3675,364,43,460,189,930,589,506,0,0,236,125,220
ж,671,27,29,5,447,2328,4,7,743,0,97,12,9,447,48,27,6,35,24,132,0,1,0,12,0,0,0,29,19,1,8
з,2413,87,559,198,434,113,30,30,224,0,111,135,177,1023,324,82,144,71,65,357,1,5,6,29,3,2,166,83,9,1,233
и,202,750,2386,486,1462,1222,221,1226,868,621,1785,2737,1724,2690,773,1104,737,2209,2807,303,38,1046,482,1186,366,87,0,0,113,204,870
й,47,104,278,109,339,46,55,77,291,0,255,147,207,478,193,372,179,634,372,92,22,34,34,236,124,2,0,0,39,6,39
к,3808,288,363,34,114,246,84,45,1375,1,127,334,92,554,5038,184,874,360,515,698,4,33,8,104,13,2,0,0,50,1,60
л,2960,124,338,140,142,2398,187,90,3246,0,312,73,69,464,3412,317,196,1047,197,886,10,19,3,277,11,1,323,2622,42,435,741
м,1671,135,397,131,236,2180,78,115,1762,1,219,107,118,1157,2318,454,157,468,234,1288,21,34,11,199,16,2,494,45,59,4,277
н,5551,118,281,55,222,5494,11,71,4634,0,247,25,76,1630,5560,248,140,412,358,1560,20,21,102,163,9,49,1510,626,22,112,933
о,126,2650,5825,2570,3281,1359,1401,816,1049,1649,1372,3394,3419,4616,1020,1953,2976,4456,4362,446,135,370,105,1788,551,132,0,0,214,338,622
п,461,5,0,5,2,1554,0,2,514,0,43,392,0,61,4921,17,3770,39,42,420,0,0,7,14,4,0,108,83,0,0,304
р,4250,98,239,106,196,2924,142,35,2893,0,130,38,156,408,4041,142,20,121,366,1415,147,37,7,56,124,5,481,494,7,104,547
с,989,119,892,38,216,2451,119,40,837,1,2313,1519,667,690,1659,1119,129,562,5757,469,6,128,32,262,51,1,120,1580,40,136,1927
т,3211,201,1520,51,223,3289,47,82,2176,0,355,167,133,902,8203,291,1767,869,214,1044,8,25,34,274,17,15,720,3478,65,41,262
у,128,506,733,828,1249,158,993,212,313,98,486,773,1010,708,212,737,385,853,1077,73,17,250,9,636,323,166,0,0,56,415,104
ф,132,0,0,0,2,29,0,0,168,0,5,5,9,0,62,4,42,12,5,60,4,0,0,2,0,0,11,55,0,0,0
х,241,51,238,52,109,196,17,34,438,0,90,117,96,217,1319,208,110,164,92,142,4,3,6,40,24,1,0,0,24,0,17
ц,282,4,34,2,7,462,1,5,132,0,21,2,7,20,113,34,8,17,13,90,2,1,0,6,1,0,88,0,2,1,4
ч,1419,6,32,7,12,2158,0,6,879,0,278,11,11,502,59,24,53,18,2142,358,0,4,0,5,79,0,0,127,3,0,4
ш,476,3,10,2,2,1137,1,2,743,0,221,302,7,219,98,2,4,2,23,118,1,0,1,0,1,0,0,310,0,0,1
щ,216,0,1,0,0,765,0,0,319,0,0,0,0,32,0,0,2,0,0,95,0,0,0,0,0,0,0,19,0,0,0
ы,20,162,686,95,219,494,43,95,225,664,195,1058,617,323,149,221,159,560,572,69,3,536,1,160,238,11,0,0,54,1,24
ь,131,260,620,156,283,458,43,234,655,0,1062,94,384,1921,446,536,150,990,470,121,17,122,40,363,177,14,0,0,105,161,455
э,1,1,4,7,4,0,0,1,0,7,23,4,1,10,0,22,1,3,1462,0,5,21,0,1,0,0,0,0,9,0,0
ю,43,199,131,31,260,23,32,42,119,0,112,33,98,152,93,174,88,264,301,33,7,11,8,135,36,129,0,0,17,24,34
я,145,210,873,129,596,223,123,275,538,44,360,532,364,965,409,611,237,952,1173,157,19,158,51,302,29,83,0,0,89,50,118
