,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.00030218,0.00130587,0.00521916,0.00109002,0.00309308,0.00195341,0.00209155,0.00456946,0.00165338,0.00100368,0.00734956,0.00853024,0.00473782,0.00623148,0.00135551,0.00284917,0.00270887,0.0072438,0.00642358,0.00064106,0.00011224,0.00128213,0.00010576,0.00176346,0.00106844,0.00031729,0.0,0.0,0.0003324,0.00106844,0.00262253
б,0.00075114,4.32e-06,9.497e-05,0.0,3.022e-05,0.00239373,6.48e-06,1.943e-05,0.001008,0.0,0.00014893,0.00087849,5.828e-05,0.0003691,0.00235488,8.63e-06,0.00144185,0.00024175,3.238e-05,0.00150445,0.0,6.26e-05,2.16e-06,4.749e-05,1.511e-05,0.0002547,0.0041464,0.00019642,0.00010576,8.63e-06,0.00074899
в,0.00692434,0.00019858,0.00047054,0.00027844,0.00124975,0.00630271,5.396e-05,0.00078136,0.00396941,0.0,0.00066696,0.00077273,0.00025254,0.00244122,0.00792155,0.00110729,0.00100584,0.00512635,0.00086338,0.00098426,1.511e-05,0.00012735,4.317e-05,0.00038636,0.00075546,1.079e-05,0.00315783,0.00017052,0.00027628,4.32e-06,0.0002547
г,0.00116773,3.669e-05,0.00015973,3.238e-05,0.00131666,0.00029355,8.63e-06,6.044e-05,0.0008159,0.0,0.00011224,0.00153035,7.986e-05,0.00043601,0.00942168,0.00018347,0.00068639,0.00014246,3.022e-05,0.00053098,6.48e-06,6.48e-06,0.0,6.691e-05,2.16e-06,0.0,0.0,0.0,6.48e-06,4.32e-06,8.63e-06
д,0.00587749,7.123e-05,0.00113967,2.59e-05,9.066e-05,0.00513282,2.806e-05,7.339e-05,0.00284269,0.0,0.00035399,0.00073388,0.00012735,0.00232466,0.00458025,0.00019858,0.00222537,0.00046191,0.00029787,0.00226638,2.16e-06,5.828e-05,0.00031082,0.00010145,0.0001144,2.16e-06,0.00051371,0.0011483,2.806e-05,8.63e-06,0.00045975
е,0.00029139,0.00254051,0.00396293,0.00428455,0.00446154,0.00249086,0.00118715,0.002193,0.00156704,0.00255994,0.00217357,0.00701284,0.00612571,0.01008217,0.00180232,0.00391113,0.00753519,0.00779205,0.00793235,0.00078568,9.281e-05,0.00099289,0.00040795,0.00200737,0.00127133,0.00109218,0.0,0.0,0.0005094,0.00026981,0.00047486
ж,0.00144833,5.828e-05,6.26e-05,1.079e-05,0.00096483,0.0050249,8.63e-06,1.511e-05,0.00160374,0.0,0.00020937,2.59e-05,1.943e-05,0.00096483,0.00010361,5.828e-05,1.295e-05,7.555e-05,5.18e-05,0.00028492,0.0,2.16e-06,0.0,2.59e-05,0.0,0.0,0.0,6.26e-05,4.101e-05,2.16e-06,1.727e-05
з,0.00520837,0.00018779,0.00120658,0.00042738,0.00093677,0.00024391,6.475e-05,6.475e-05,0.0004835,0.0,0.00023959,0.00029139,0.00038205,0.00220811,0.00069934,0.00017699,0.00031082,0.00015325,0.0001403,0.00077057,2.16e-06,1.079e-05,1.295e-05,6.26e-05,6.48e-06,4.32e-06,0.0003583,0.00017915,1.943e-05,2.16e-06,0.00050292
и,0.00043601,0.00161885,0.00515009,0.00104901,0.00315567,0.00263764,0.00047702,0.00264627,0.00187354,0.0013404,0.00385285,0.00590771,0.00372119,0.00580626,0.00166849,0.00238294,0.00159079,0.00476804,0.0060588,0.00065401,8.202e-05,0.00225775,0.00104038,0.00255994,0.00079,0.00018779,0.0,0.0,0.00024391,0.00044033,0.00187786
й,0.00010145,0.00022448,0.00060005,0.00023527,0.00073172,9.929e-05,0.00011872,0.0001662,0.00062811,0.0,0.00055041,0.00031729,0.0004468,0.00103174,0.00041658,0.00080295,0.00038636,0.00136846,0.00080295,0.00019858,4.749e-05,7.339e-05,7.339e-05,0.0005094,0.00026765,4.32e-06,0.0,0.0,8.418e-05,1.295e-05,8.418e-05
