,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,31,557,2985,702,1996,1348,1754,3767,123,949,6017,7697,3638,3907,14,872,1973,5112,4799,78,55,1050,63,1000,938,278,0,0,4,949,2125,18520
б,666,1,60,0,24,2296,4,2,901,0,136,805,43,299,2110,0,1304,224,4,1383,0,49,1,20,12,252,3942,199,0,8,649,486
в,6258,3,28,21,884,5564,0,558,3468,1,132,647,113,1682,6889,412,626,4048,275,687,1,66,17,196,695,11,2914,166,0,0,219,6583
г,1083,0,7,7,1178,267,0,1,660,0,55,1396,39,293,8532,0,585,34,11,472,0,0,0,35,2,0,0,0,0,3,0,1167
д,5572,29,964,18,41,4774,22,13,2546,0,230,644,81,2003,4115,94,1983,343,286,2149,0,47,279,63,85,2,480,1109,0,9,456,1005
е,29,1408,1387,3594,3093,1885,878,1266,122,2387,1271,6134,4699,7697,301,1242,6473,5115,6201,178,19,593,355,1339,1068,1002,0,0,0,251,240,20764
ж,1304,24,0,4,832,4753,11,0,1387,0,104,18,4,799,24,0,4,10,1,294,0,0,1,4,0,0,0,54,0,2,0,730
з,4943,139,960,357,758,213,48,38,406,0,133,258,251,1930,555,15,261,17,10,646,0,0,2,21,7,0,310,150,0,2,445,1348
и,124,698,2733,581,1876,2063,236,1945,692,1234,2711,5200,2794,3393,235,255,926,2307,4635,9,18,1934,913,1773,655,156,0,0,1,374,1457,19411
й,2,20,0,1,279,4,0,4,0,0,144,225,46,386,5,1,3,529,484,0,2,0,43,190,205,1,0,0,0,0,0,6974
к,7493,0,261,0,2,428,27,10,2386,1,11,551,4,609,9700,2,1615,259,749,1278,0,35,15,0,15,0,0,0,0,0,0,5183
л,5793,27,14,139,21,4353,322,5,5950,0,299,64,9,275,5892,61,0,1507,117,1602,2,0,0,217,2,1,622,5205,0,843,1403,7363
м,3340,13,8,79,3,4259,0,0,2929,0,81,102,28,1691,3971,49,69,116,168,2324,12,0,9,51,6,1,953,84,1,3,392,8370
н,11050,10,21,37,328,10881,3,25,8886,0,282,0,0,2889,10840,0,89,309,479,2963,38,4,206,215,5,90,2993,1264,0,227,1875,4579
о,6,3895,8818,4709,5389,2075,2267,1041,709,3280,1763,6410,5864,6979,253,1573,5490,6497,7428,101,210,512,164,2430,1050,248,0,0,17,626,701,25671
п,863,4,0,1,0,3112,0,0,1004,0,76,796,0,126,9924,34,7487,71,73,813,0,0,12,21,7,0,235,166,0,0,590,62
р,8353,151,422,200,330,5944,273,52,5638,0,217,70,329,744,8032,114,22,147,716,2798,296,67,18,91,250,15,941,998,0,204,1069,791
с,1901,96,1509,31,217,4745,25,10,1533,1,4277,2992,1176,957,3133,1844,200,738,11148,786,6,218,61,393,89,1,229,3243,0,267,3865,4029
т,6255,12,2551,10,108,6435,0,22,3832,0,374,227,36,1211,16010,75,3324,1206,83,1932,0,14,63,346,10,31,1469,7040,10,87,433,6339
у,64,854,700,1560,2125,209,1885,236,8,225,682,1528,1660,563,4,846,542,1120,1671,2,13,431,10,873,624,333,0,0,1,871,66,7338
ф,245,0,0,0,0,68,0,0,344,0,1,11,7,1,129,1,81,19,12,108,9,0,0,1,1,0,23,107,0,0,0,36
х,463,0,195,0,0,325,0,8,556,0,1,143,70,157,2463,0,87,29,53,179,0,0,0,1,21,0,0,0,2,0,0,3328
ц,557,0,25,0,0,867,0,0,248,0,21,0,3,0,195,0,0,0,9,196,0,0,0,1,1,0,186,0,0,0,0,400
ч,2737,0,2,0,0,4336,0,0,1721,0,527,14,1,946,84,0,90,0,4395,723,0,0,0,1,145,0,0,257,0,0,0,494
ш,951,0,8,0,0,2290,0,0,1492,0,471,555,12,440,195,0,0,0,47,217,0,0,0,0,0,0,0,638,0,0,0,62
щ,421,0,1,0,0,1594,0,0,638,0,0,0,0,55,1,0,3,0,0,168,0,0,0,0,0,0,0,41,0,0,0,6
ы,0,154,855,116,168,857,24,54,6,1351,164,2018,1047,183,0,112,214,729,795,2,0,998,1,189,489,12,0,0,0,0,3,4756
ь,0,94,39,142,20,489,0,162,131,0,1358,1,365,2409,5,0,0,921,269,0,13,128,66,89,318,29,0,0,0,358,670,12645
э,0,0,4,8,6,0,0,1,0,15,49,8,3,24,0,32,2,10,2969,0,9,42,0,0,0,0,0,0,13,0,0,13
ю,0,330,4,4,337,0,17,7,1,1,14,13,47,47,0,0,65,219,406,0,0,6,7,109,64,251,0,0,0,41,0,3306
я,0,17,289,66,532,102,109,235,17,95,184,865,377,645,0,52,81,697,1749,0,0,203,75,155,11,144,0,0,0,108,93,12615
 ,2797,7344,18314,3440,8895,4455,2459,4761,13005,8,8849,2716,6366,17248,12565,17791,5693,17387,9503,4956,500,1684,328,6649,603,70,0,0,3159,63,2765,0
