,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,2.79e-05,0.00050137,0.00268687,0.00063189,0.00179665,0.00121337,0.00157882,0.00339076,0.00011072,0.00085422,0.00541604,0.00692825,0.00327465,0.00351678,1.26e-05,0.00078491,0.00177594,0.00460143,0.00431969,7.021e-05,4.951e-05,0.00094513,5.671e-05,0.00090012,0.00084432,0.00025023,0.0,0.0,3.6e-06,0.00085422,0.00191276,0.01667028
б,0.00059948,9e-07,5.401e-05,0.0,2.16e-05,0.00206668,3.6e-06,1.8e-06,0.00081101,0.0,0.00012242,0.0007246,3.871e-05,0.00026914,0.00189926,0.0,0.00117376,0.00020163,3.6e-06,0.00124487,0.0,4.411e-05,9e-07,1.8e-05,1.08e-05,0.00022683,0.00354829,0.00017912,0.0,7.2e-06,0.00058418,0.00043746
в,0.00563297,2.7e-06,2.52e-05,1.89e-05,0.00079571,0.00500829,0.0,0.00050227,0.00312163,9e-07,0.00011882,0.00058238,0.00010171,0.00151401,0.00620095,0.00037085,0.00056348,0.0036437,0.00024753,0.00061838,9e-07,5.941e-05,1.53e-05,0.00017642,0.00062559,9.9e-06,0.00262296,0.00014942,0.0,0.0,0.00019713,0.00592551
г,0.00097483,0.0,6.3e-06,6.3e-06,0.00106035,0.00024033,0.0,9e-07,0.00059408,0.0,4.951e-05,0.00125657,3.51e-05,0.00026374,0.00767985,0.0,0.00052657,3.06e-05,9.9e-06,0.00042486,0.0,0.0,0.0,3.15e-05,1.8e-06,0.0,0.0,0.0,0.0,2.7e-06,0.0,0.00105044
д,0.00501549,2.61e-05,0.00086772,1.62e-05,3.691e-05,0.00429719,1.98e-05,1.17e-05,0.00229171,0.0,0.00020703,0.00057968,7.291e-05,0.00180295,0.00370401,8.461e-05,0.00178494,0.00030874,0.00025744,0.00193436,0.0,4.231e-05,0.00025113,5.671e-05,7.651e-05,1.8e-06,0.00043206,0.00099824,0.0,8.1e-06,0.00041046,0.00090462
е,2.61e-05,0.00126737,0.00124847,0.00323504,0.00278408,0.00169673,0.00079031,0.00113956,0.00010982,0.00214859,0.00114406,0.00552136,0.00422968,0.00692825,0.00027094,0.00111795,0.0058265,0.00460413,0.00558166,0.00016022,1.71e-05,0.00053377,0.00031954,0.00120527,0.00096133,0.00090192,0.0,0.0,0.0,0.00022593,0.00021603,0.01869016
ж,0.00117376,2.16e-05,0.0,3.6e-06,0.0007489,0.00427829,9.9e-06,0.0,0.00124847,0.0,9.361e-05,1.62e-05,3.6e-06,0.0007192,2.16e-05,0.0,3.6e-06,9e-06,9e-07,0.00026464,0.0,0.0,9e-07,3.6e-06,0.0,0.0,0.0,4.861e-05,0.0,1.8e-06,0.0,0.00065709
з,0.00444931,0.00012512,0.00086412,0.00032134,0.00068229,0.00019173,4.321e-05,3.42e-05,0.00036545,0.0,0.00011972,0.00023223,0.00022593,0.00173724,0.00049957,1.35e-05,0.00023493,1.53e-05,9e-06,0.00058148,0.0,0.0,1.8e-06,1.89e-05,6.3e-06,0.0,0.00027904,0.00013502,0.0,1.8e-06,0.00040055,0.00121337
и,0.00011162,0.00062829,0.00246004,0.00052297,0.00168863,0.00185695,0.00021243,0.00175074,0.00062289,0.00111075,0.00244023,0.00468064,0.00251494,0.00305412,0.00021153,0.00022953,0.00083351,0.00207658,0.00417207,8.1e-06,1.62e-05,0.00174084,0.00082181,0.00159592,0.00058958,0.00014042,0.0,0.0,9e-07,0.00033665,0.00131148,0.01747229
й,1.8e-06,1.8e-05,0.0,9e-07,0.00025113,3.6e-06,0.0,3.6e-06,0.0,0.0,0.00012962,0.00020253,4.141e-05,0.00034745,4.5e-06,9e-07,2.7e-06,0.00047617,0.00043566,0.0,1.8e-06,0.0,3.871e-05,0.00017102,0.00018453,9e-07,0.0,0.0,0.0,0.0,0.0,0.00627746
