,Frequency,Probability
а,73301,0.06597987
б,15880,0.01429394
в,43164,0.03885288
г,15827,0.01424624
д,29442,0.0265014
е,80991,0.07290181
ж,10364,0.00932887
з,14223,0.01280244
и,61339,0.05521261
й,9548,0.00859437
к,30634,0.02757435
л,42108,0.03790235
м,29112,0.02620436
н,60588,0.05453662
о,106176,0.0955714
п,25477,0.02293242
р,39292,0.03536761
с,49720,0.04475409
т,59545,0.05359779
у,27044,0.02434291
ф,1204,0.00108375
х,8081,0.00727389
ц,2709,0.00243843
ч,16473,0.01482772
ш,7378,0.0066411
щ,2928,0.00263556
ы,15297,0.01376917
ь,20721,0.01865144
э,3208,0.00288759
ю,5296,0.00476705
я,19516,0.01756679
 ,184374,0.16595917
