,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,14,268,1490,343,995,680,884,1882,55,477,3077,3901,1826,1939,4,422,1003,2518,2457,39,27,534,28,487,464,124,0,0,4,477,1051,9251
б,322,1,30,0,14,1156,2,2,460,0,64,396,22,148,1024,0,643,102,3,682,0,22,0,13,7,139,1991,91,0,3,323,250
в,3195,1,15,9,412,2723,0,280,1679,1,60,309,60,859,3540,213,318,2062,140,337,0,41,12,100,353,7,1422,79,0,0,111,3298
г,531,0,3,5,579,124,0,1,320,0,34,722,21,137,4412,0,301,14,5,228,0,0,0,14,2,0,0,0,0,2,0,580
д,2809,14,494,10,17,2365,14,4,1284,0,129,308,42,995,2041,44,1006,174,140,1094,0,15,141,28,43,1,244,568,0,4,235,506
е,15,687,711,1716,1515,938,438,619,62,1206,636,3074,2374,3863,171,618,3197,2594,3089,82,9,290,179,667,560,509,0,0,0,123,113,10223
ж,656,14,0,2,398,2477,6,0,697,0,54,4,1,409,15,0,1,3,1,164,0,0,0,4,0,0,0,28,0,1,0,369
з,2503,72,499,164,363,113,22,21,200,0,64,132,130,979,267,8,120,4,5,314,0,0,1,11,5,0,149,77,0,2,247,711
и,60,357,1385,280,943,1049,114,955,342,647,1348,2577,1344,1704,122,125,462,1147,2304,7,11,975,463,893,347,77,0,0,0,170,721,9695
й,2,11,0,1,133,3,0,3,0,0,72,120,23,183,1,0,1,228,237,0,1,0,21,89,96,0,0,0,0,0,0,3483
к,3710,0,130,0,1,227,12,1,1141,0,4,280,3,305,4858,1,834,122,403,643,0,15,9,0,8,0,0,0,0,0,0,2541
л,2890,13,7,78,9,2147,161,3,2991,0,139,35,7,132,2959,30,0,760,63,784,2,0,0,112,2,0,293,2584,0,437,688,3677
м,1663,3,5,38,2,2127,0,0,1440,0,39,54,17,857,1973,26,31,51,97,1178,9,0,3,29,5,1,465,47,0,2,207,4180
н,5460,4,13,21,162,5469,2,16,4532,0,118,0,0,1448,5387,0,38,153,240,1458,23,1,99,91,5,45,1526,617,0,122,912,2300
о,4,1983,4352,2383,2724,1059,1078,531,360,1633,886,3253,2867,3445,117,779,2664,3319,3664,40,97,257,88,1220,508,132,0,0,10,311,353,12787
п,457,2,0,0,0,1546,0,0,497,0,42,403,0,62,4917,20,3706,34,37,399,0,0,7,13,4,0,112,88,0,0,287,37
р,4216,71,200,98,172,3060,144,25,2824,0,96,37,171,375,4066,59,9,72,352,1377,150,41,10,49,131,7,471,482,0,103,560,410
с,955,46,779,11,107,2380,12,6,768,1,2129,1519,581,491,1565,932,89,372,5501,414,2,100,45,214,47,0,115,1616,0,129,1904,2025
т,3081,3,1278,6,44,3223,0,12,1965,0,180,125,23,647,7951,38,1623,610,49,976,0,5,34,187,5,16,715,3506,7,43,219,3216
у,37,433,340,792,1077,106,890,119,2,129,366,787,840,280,3,416,262,548,824,1,8,226,5,436,317,159,0,0,0,481,33,3607
ф,128,0,0,0,0,29,0,0,167,0,1,6,4,1,65,0,32,6,7,50,5,0,0,1,1,0,14,57,0,0,0,16
х,213,0,106,0,0,172,0,3,262,0,0,65,28,83,1228,0,43,22,28,97,0,0,0,0,13,0,0,0,0,0,0,1642
ц,278,0,8,0,0,421,0,0,128,0,6,0,1,0,88,0,0,0,4,101,0,0,0,1,0,0,99,0,0,0,0,201
ч,1327,0,2,0,0,2176,0,0,854,0,278,4,1,480,38,0,45,0,2155,358,0,0,0,0,71,0,0,127,0,0,0,252
ш,466,0,4,0,0,1144,0,0,751,0,199,280,4,215,87,0,0,0,23,103,0,0,0,0,0,0,0,307,0,0,0,32
щ,200,0,0,0,0,803,0,0,326,0,0,0,0,20,1,0,0,0,0,79,0,0,0,0,0,0,0,20,0,0,0,4
ы,0,81,432,63,88,408,10,32,3,688,79,965,531,91,0,48,108,345,404,0,0,508,1,95,271,8,0,0,0,0,2,2420
ь,0,45,20,76,14,249,0,72,65,0,713,1,182,1188,1,0,0,490,137,0,5,61,38,47,156,21,0,0,0,172,326,6348
э,0,0,1,3,1,0,0,1,0,7,31,1,2,12,0,14,2,7,1544,0,4,27,0,0,0,0,0,0,3,0,0,6
ю,0,155,3,1,165,0,10,3,1,0,6,6,24,25,0,0,32,107,209,0,0,4,4,58,33,119,0,0,0,19,0,1625
я,0,14,152,40,275,50,48,110,7,47,92,391,189,332,0,30,41,339,882,0,0,108,35,65,5,79,0,0,0,55,54,6361
 ,1388,3692,9069,1652,4463,2289,1213,2339,6532,4,4444,1350,3245,8621,6371,8984,2843,8662,4754,2515,261,846,150,3381,304,31,0,0,1518,31,1369,0
