,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я, 
а,2.52e-05,0.00048247,0.00268236,0.00061748,0.00179124,0.00122417,0.00159142,0.00338806,9.901e-05,0.00085872,0.00553935,0.00702276,0.00328725,0.00349067,7.2e-06,0.0007597,0.00180565,0.00453302,0.0044232,7.021e-05,4.861e-05,0.00096133,5.041e-05,0.00087672,0.00083531,0.00022323,0.0,0.0,7.2e-06,0.00085872,0.00189206,0.01665406
б,0.00057968,1.8e-06,5.401e-05,0.0,2.52e-05,0.00208108,3.6e-06,3.6e-06,0.00082811,0.0,0.00011522,0.0007129,3.961e-05,0.00026644,0.00184345,0.0,0.00115756,0.00018362,5.4e-06,0.00122777,0.0,3.961e-05,0.0,2.34e-05,1.26e-05,0.00025023,0.00358429,0.00016382,0.0,5.4e-06,0.00058148,0.00045006
в,0.00575178,1.8e-06,2.7e-05,1.62e-05,0.0007417,0.00490207,0.0,0.00050407,0.00302261,1.8e-06,0.00010801,0.00055628,0.00010801,0.00154641,0.00637287,0.00038345,0.00057248,0.0037121,0.00025203,0.00060668,0.0,7.381e-05,2.16e-05,0.00018002,0.00063549,1.26e-05,0.00255995,0.00014222,0.0,0.0,0.00019983,0.00593721
г,0.00095593,0.0,5.4e-06,9e-06,0.00104234,0.00022323,0.0,1.8e-06,0.00057608,0.0,6.121e-05,0.00129978,3.781e-05,0.00024663,0.00794268,0.0,0.00054187,2.52e-05,9e-06,0.00041046,0.0,0.0,0.0,2.52e-05,3.6e-06,0.0,0.0,0.0,0.0,3.6e-06,0.0,0.00104414
д,0.00505689,2.52e-05,0.00088932,1.8e-05,3.06e-05,0.00425758,2.52e-05,7.2e-06,0.00231151,0.0,0.00023223,0.00055448,7.561e-05,0.00179124,0.0036743,7.921e-05,0.00181105,0.00031324,0.00025203,0.00196947,0.0,2.7e-05,0.00025383,5.041e-05,7.741e-05,1.8e-06,0.00043926,0.00102254,0.0,7.2e-06,0.00042306,0.00091092
е,2.7e-05,0.00123677,0.00127997,0.00308922,0.00272737,0.00168863,0.00078851,0.00111435,0.00011162,0.0021711,0.00114496,0.00553395,0.00427378,0.00695435,0.00030784,0.00111255,0.00575538,0.00466984,0.00556096,0.00014762,1.62e-05,0.00052207,0.00032224,0.00120076,0.00100814,0.00091632,0.0,0.0,0.0,0.00022143,0.00020343,0.0184039
ж,0.00118096,2.52e-05,0.0,3.6e-06,0.0007165,0.00445921,1.08e-05,0.0,0.00125477,0.0,9.721e-05,7.2e-06,1.8e-06,0.0007363,2.7e-05,0.0,1.8e-06,5.4e-06,1.8e-06,0.00029524,0.0,0.0,0.0,7.2e-06,0.0,0.0,0.0,5.041e-05,0.0,1.8e-06,0.0,0.00066429
з,0.00450601,0.00012962,0.00089832,0.00029524,0.00065349,0.00020343,3.961e-05,3.781e-05,0.00036005,0.0,0.00011522,0.00023763,0.00023403,0.00176244,0.00048067,1.44e-05,0.00021603,7.2e-06,9e-06,0.00056528,0.0,0.0,1.8e-06,1.98e-05,9e-06,0.0,0.00026824,0.00013862,0.0,3.6e-06,0.00044466,0.00127997
и,0.00010801,0.00064269,0.00249334,0.00050407,0.00169763,0.00188846,0.00020523,0.00171923,0.00061568,0.00116476,0.00242673,0.00463923,0.00241953,0.00306762,0.00021963,0.00022503,0.00083171,0.00206488,0.00414776,1.26e-05,1.98e-05,0.00175524,0.00083351,0.00160762,0.00062468,0.00013862,0.0,0.0,0.0,0.00030604,0.00129798,0.01745337
й,3.6e-06,1.98e-05,0.0,1.8e-06,0.00023943,5.4e-06,0.0,5.4e-06,0.0,0.0,0.00012962,0.00021603,4.141e-05,0.00032944,1.8e-06,0.0,1.8e-06,0.00041046,0.00042666,0.0,1.8e-06,0.0,3.781e-05,0.00016022,0.00017282,0.0,0.0,0.0,0.0,0.0,0.0,0.00627025
