Character;Frequency
гу;0.00048235100270541776
ус;0.0009713459586161442
ст;0.01084558921234606
то;0.0129185026124024
ой;0.003286099255345725
й ;0.005129131874498381
 а;0.001940034335950165
ар;0.0021566272104432314
ро;0.00633035861401821
ом;0.005002896763597515
ма;0.0024423171982715093
ат;0.00446207897268538
т ;0.004217581494730016
 р;0.0037671214674100807
оз;0.0012291313429821252
з ;0.0012291313429821252
 н;0.015016663034638915
на;0.009807803721676828
ап;0.0007441227589945838
по;0.00804051216906469
ол;0.005515809951047353
лн;0.0002989778942388953
ня;0.00127829659670141
ял;0.0006803408082236195
л ;0.0048567297930807215
 м;0.006295810057350604
ас;0.004214923913447893
те;0.00562742836489654
ер;0.005591551017587873
рс;0.00016078366756847257
ск;0.003368484275091554
ку;0.0013819422667042272
ую;0.0009474277270770326
ю ;0.002054310331081476
 х;0.0015055197963229705
ху;0.0002126065025698811
уд;0.0021021467941596994
до;0.004549779154995455
ож;0.001874923594538139
жн;0.0008770018231007595
ни;0.007695026602388634
ик;0.002076899771979526
ка;0.006519046885048979
а ;0.011591040761981706
 к;0.008443135733306403
ко;0.00790364673303533
ог;0.004582998921022
гд;0.001437751473628821
да;0.004536491248584838
 в;0.015706305377349968
в ;0.004798263004874004
 с;0.01520269372438756
са;0.0016317549072238375
ад;0.001934719173385918
ду;0.0017300854146624074
у ;0.004027564433058185
 п;0.014295129716542381
од;0.004202964797678337
дн;0.0016623170919682578
им;0.002672197979175193
ал;0.0065323347914595965
лс;0.00122514497105894
ся;0.0037206137949729193
я ;0.008277036903173683
 л;0.003181124794701846
ле;0.0038003412334366247
ет;0.005478603813097623
тн;0.0011440887419541727
ий;0.0008942761014345624
ве;0.005227462381936951
ок;0.0015055197963229705
 о;0.011070154830685497
он;0.006092505089268155
вл;0.0007587394560462632
та;0.00557427673925407
ая;0.0019692677300535235
от;0.00591444714336588
тк;0.00046109035244842965
кр;0.001803168899920804
ры;0.0012065419020840752
ыт;0.00078664405950856
ту;0.0014271211485003268
 д;0.007959455939959923
дв;0.000726848480660781
рь;0.0007600682466873249
пр;0.005754992266438469
ри;0.005697854268872813
ин;0.003098739774956017
но;0.009738706608341616
ос;0.005602181342716367
си;0.0014563545426036855
ил;0.004564395852047135
с ;0.0025340037525047703
со;0.0026256903067380316
об;0.0034296086445803945
бо;0.002033049680824488
 т;0.007368144104687442
о ;0.018120717972159178
пь;0.00011294720449024933
ья;0.00043717212090931803
ян;0.0006351619264275197
ящ;0.00022722319962156041
щи;0.0007295060619429046
 з;0.003998331038954826
за;0.0042733907016546105
па;0.0010311415374639234
ах;0.0009035776359219947
х ;0.0026124024003274142
ир;0.0007720273624568807
ре;0.005471959859892315
ен;0.007643203767387225
не;0.00955267591859297
еж;0.0007547530841230779
ое;0.0022044636735214546
е ;0.014418707246161124
 б;0.006984123609420594
бл;0.0008012607565602394
ла;0.004940443603467612
аг;0.0006364907170685816
го;0.0076166279545659904
оу;7.042590397627311e-05
ух;0.0003760477514204772
ха;0.0003946508203953418
ан;0.004109949452804014
ие;0.0019865420083873264
лы;0.0007773425250211278
ых;0.0010869507443885171
 ц;0.00038667807654897126
цв;0.00013420785474723744
ов;0.006295810057350604
оя;0.0006657241111719402
яр;9.700171679750825e-05
ыш;0.00043850091155037975
шн;0.00035478710116348906
пе;0.0021167634912113787
ид;0.0012477344119569897
дс;0.00030562184744420406
ки;0.0022150939986499488
ми;0.003286099255345725
и ;0.013912438011916594
 ч;0.0056712784560515785
че;0.0035651452899686936
еп;0.001039114281310294
ра;0.007295060619429045
ак;0.004678671847178446
ам;0.00326749618637086
ди;0.0022855199026262218
ив;0.002120749863134564
ва;0.005239421497706507
ор;0.006431346702738904
м ;0.00557427673925407
жа;0.0012982284563173364
ло;0.005828075751696866
рд;0.0008783306137418213
д ;0.001044429443874541
 г;0.004092675174470211
ге;0.0006976150865574223
нр;0.00048500858398754126
 у;0.0040461675020330495
уо;0.0001567972956452873
тт;0.00011959115769555812
ур;0.0005487905347585056
ря;0.0008623851260490803
к ;0.003387087344066418
вс;0.003246235536113872
