Character;Frequency
гу;0.0002498126405196103
ст;0.0055211251136116
ой;0.0016742762077378136
 а;0.0009899490275910089
ро;0.0032223173045747605
ма;0.001257035946444422
т ;0.0021885181858287135
з ;0.0006072573229652229
на;0.00486337374628603
по;0.003991687085749518
лн;0.0001634412488505961
ял;0.0003361840321886245
 м;0.003126644378418314
ас;0.002078228562620588
те;0.0027904603462296893
рс;7.042590397627311e-05
ку;0.0006630665298898167
ю ;0.0010590461409262202
ху;9.965929807963177e-05
до;0.002266916833651357
жн;0.0004252130051397622
ик;0.0009766611211803912
 к;0.004246814888833375
ог;0.0023546170159614334
да;0.0022748895774977276
 в;0.007692369021106511
 с;0.007671108370849522
ад;0.0009593868428465884
у ;0.0020210905650549322
дн;0.0008530835915616479
им;0.0013912438011916594
ал;0.003231618839062193
ся;0.0018895402915898184
 л;0.0016370700697880844
ет;0.0027319935580229723
ни;0.0038083139772829952
й ;0.002552606821479635
ве;0.0026442933757128964
 о;0.0054360825125836475
ле;0.0018669508506917684
та;0.0028343104373847274
я ;0.004131210103061002
в ;0.0024011246883985948
от;0.0029100515039252478
кр;0.0008756730324596978
ыт;0.0003720613794972919
ую;0.00043717212090931803
 д;0.003913288437926874
рь;0.00037471896077941546
пр;0.002830324065461542
ин;0.0015639865845296877
ос;0.0027904603462296893
ил;0.002317410878011704
об;0.0017287566240213458
 т;0.003628927240739658
о ;0.009130120494735331
пь;5.5809206924593786e-05
ян;0.0003242249164190687
ящ;0.00011294720449024933
ий;0.00045178881796099733
 з;0.00198919958966945
ап;0.00036408863565092137
ах;0.00046374793373055314
ир;0.00035212951988136557
ен;0.003825588255616798
не;0.004739796216667287
ое;0.0010723340473368379
 б;0.003508007292403038
ла;0.00238252161942373
го;0.003699353144715931
ух;0.00017938673654333716
ан;0.002060954284286785
ие;0.0009992505620784412
лы;0.0003787053327026007
х ;0.0013314482223438803
цв;7.441227589945838e-05
ов;0.003170494469573352
оя;0.0003135945912905746
ры;0.0006059285323241611
шн;0.0001754003646201519
с ;0.001294242084394151
пе;0.0010803067911832084
ид;0.0006298467638632728
ск;0.0016902216954305547
и ;0.006960205377881483
че;0.0017619763900478896
ак;0.0023187396686527658
ам;0.0016570019294040107
ди;0.001088279535029579
ва;0.002705417745201737
ор;0.0032103581888052045
ом;0.002536661333786894
еж;0.00036408863565092137
д ;0.0005541056973227526
ге;0.0003508007292403038
нр;0.00025778538436598084
уо;8.504260102795244e-05
тт;6.112436948884082e-05
он;0.0031213292158540668
ря;0.0004345145396271945
ка;0.0032488931173959954
к ;0.001645042813634455
вс;0.0016158094195310964
ег;0.0018709372226149536
од;0.0020808861439027115
ну;0.0012464056213159279
а ;0.005801499938875631
др;0.0006829983895057431
уг;0.0005394890002710733
ес;0.002176559070059158
чи;0.0007693697811747573
сл;0.0013314482223438803
