Character;Frequency
דף;0.0006070163380535009
ףס;0.0016267395514502551
סע;0.01333348321391063
עמ;0.01588841176905116
מי;0.003971300010598698
יא;5.138762650188368e-05
אנ;0.0029290947106073695
נמ;0.007676026708718874
מל;0.006942147167738848
לא;0.0029772706104528855
אע;0.006071769243863193
ענ;0.0035826810851782025
מח;0.002066746103372634
חם;0.0025131761086077484
םא;0.011860906541966027
אן;0.002055505060075347
ןמ;0.009717078998840566
מכ;0.007149303537074566
כם;0.0008784072405165741
םÿ;0.0015544757016819812
ÿכ;0.0010261466667094896
כל;0.00017664496610022515
אס;0.006442723672673666
עו;0.006972658570974341
ונ;0.007203902890232818
נס;0.00023927363589939588
סך;0.004269990589640896
ךף;0.0017792965676277223
ף‏;0.0011497981429796473
‏ץ;2.2482086594574108e-05
ץף;0.00035007820554408255
ףה;0.0027508438811789607
המ;0.005541834345562518
מז;0.0027524497445071444
זם;0.0011128632864314185
םט;0.009580580615944937
טך;0.0032486615129159587
ךא;0.007904059301320984
אך;0.006264472843245257
ךמ;0.009831095295141621
מד;0.005956147084233955
דה;0.0017792965676277223
הא;0.005484023265747899
אג;0.004274808179625449
גס;0.0046521860617486565
סא;0.0019848470736352573
אה;0.0030463227335647916
הף;0.002105286823249047
ףן;0.0011819154095433246
מה;0.006036440250643148
הם;0.002139009953140908
טל;0.0038155312677648633
אכ;0.008241290600239594
כס;0.001968788440353418
סÿ;0.004509264225540293
כו;0.005019928763902762
וע;0.0074255120295221915
עם;0.0018611955973650994
טי;0.0010807460198677412
יג;0.00041431273867143713
גו;0.0064491471259864016
מך;0.0025934692750169417
מם;0.009225684820416304
גכ;0.0010727167032268219
עא;0.0067510494316849684
אÿ;0.002579016505063287
ÿג;0.0014179773187863527
גמ;0.007791648868348113
מע;0.008287860636756926
עך;0.0007451205842773133
ךנ;0.0023124431925847654
נû;0.0014581239019909494
ûע;0.0011738860929024052
עף;0.0018965245905851445
‏ה;0.0006070163380535009
הג;0.000950671090284848
נü;0.0009185538237211707
ןנ;0.006954994074364319
נט;0.006935723714426112
טם;0.0051500036934856545
םמ;0.012008645968158942
מס;0.009047433990987895
סט;0.0018483486907396286
טכ;0.0057650493481800754
סס;0.001164250912933302
סמ;0.003328954679325152
מב;0.005548257798875253
במ;0.00249711747532591
יע;0.0006230749713353396
מן;0.003293625686105107
ןü;0.0001364983828956285
üÿ;0.0006118339280380525
ÿם;0.002000905706917096
ÿש;0.0002842378090885441
שט;0.0008816189671729418
יח;0.00014613356286473172
חא;0.005183726823377516
ןא;0.0012461499426706791
אץ;0.0011690685029178537
ץס;0.0003629251121695535
טנ;0.001426006635427272
נו;0.006625792092086627
ום;0.010621180052608082
םו;0.011615209452753895
וז;0.0011690685029178537
מו;0.003198879749742259
וב;0.002211273802909182
בכ;0.0009699414502230545
כא;0.005986658487469448
אד;0.001164250912933302
דמ;0.00928670762688729
מף;0.0007788437141691745
ףץ;0.0004930000417524465
ץא;0.0005026352217215497
אם;0.006463599895940056
טו;0.0028680719041363828
וא;0.00019591532603843153
כû;0.000939430046987561
ûץ;0.0013874659155508594
ץצ;1.7664496610022513e-05
צג;0.00018788600939751218
מג;0.010136209327496556
גב;0.00017664496610022515
מÿ;0.0012043974961378986
ÿנ;0.0003516840688722664
ûר;0.0005411759415979624
רם;0.0004319772352814597
סן;0.0019174008138515347
ןו;0.002558140281796897
טה;0.002357407365773914
הס;0.0004801531351269756
ךט;0.0029708471571401503
לט;0.00451247595219666
טק;0.0018579838707087318
קו;0.0043101371728454935
ון;0.003006176150360195
נא;0.00882903657835489
אל;0.004573498758667647
הט;0.002816684277634499
טג;0.004422547605818364
גא;0.006384912592859047
מנ;0.008236473010255043
לכ;0.0002521205425248668
זא;0.0015705343349638199
ככ;0.000772420260856439
כמ;0.007802889911645399
נה;0.0010855636098522927
הד;0.0003950423787332308
דו;0.000868772060547471
םנ;0.0006600098278835685
טף;0.0005058469483779174
ףמ;0.00042394791864054036
עע;0.00043037137195327583
ףנ;0.0007627850808873359
נÿ;0.001045417026647696
ךג;0.0005443876682543303
סו;0.004555834262057625
וד;0.004716420594876011
