Character;Frequency
דף;0.00033241370893406005
סע;0.006670756265275775
מי;0.002049081606762612
אנ;0.0014613356286473172
מל;0.003460635472236229
אע;0.0030366875535956885
נמ;0.0038926127075176887
חם;0.0012622085759525178
אן;0.0011000163798059474
מכ;0.0036308569850237184
םÿ;0.0007290619509954747
כל;7.708143975282552e-05
אס;0.0032020914763986265
עו;0.0034799058321744354
נס;0.0001381042462238124
ךף;0.0008944658737984127
‏ץ;9.63517996910319e-06
ףה;0.001401918685504514
מז;0.0013826483255663076
םט;0.0047886844446442854
ךא;0.004001811413834192
ךמ;0.004814378257895227
דה;0.0009281890036902739
אג;0.0021582803130791146
סא;0.0009474593636284803
הף;0.0010566580699449832
ןמ;0.004880218654350766
הם;0.0010534463432886154
טל;0.0019061597705542477
אכ;0.004098163213525224
סÿ;0.0022417852061446756
כו;0.0025517168284841614
עם;0.0009169479603929869
טי;0.0005379642149415947
גו;0.003142674533255824
מם;0.0046232805218413475
עא;0.003316107772699681
ÿג;0.000737091267636394
מע;0.004120645300119797
ךנ;0.001202791632809715
ûע;0.0006294984246480751
ף‏;0.0006054104747253171
הג;0.0004930000417524465
ונ;0.0035023879187690093
ןנ;0.003451000292267126
טם;0.0025758047784069193
מס;0.004401671382551974
טכ;0.002948365070545576
סס;0.0005508111215670657
מב;0.0028327429109163377
עמ;0.007851065811490915
ןü;6.584039645553846e-05
ÿם;0.0009426417736439287
ÿש;0.00014613356286473172
חא;0.0025998927283296773
ןא;0.0006278925613198912
ץס;0.00016379805947475422
טנ;0.0007306678143236586
ום;0.005400518372682338
םו;0.005798772478071936
זם;0.0006021987480689493
מו;0.0016411923214039099
בכ;0.0004978176317369981
אד;0.0005861401147871107
מף;0.00041591860199962104
ץא;0.00024087949922757974
וא;0.00010116938967558349
כû;0.0004608827751887692
ץצ;1.284690662547092e-05
גב;8.511075639374484e-05
מÿ;0.0006166515180226042
נû;0.0006953388211036135
רם;0.0002328501825866604
טך;0.0016203160981375197
סן;0.0009699414502230545
מך;0.001273449619249805
דמ;0.004605616025231325
ןו;0.0012702378925934371
טה;0.0012557851226397824
סך;0.002045869880106244
טק;0.0009281890036902739
ון;0.0015127232551492007
נא;0.004480358685632983
לט;0.00221448552956555
הט;0.0013280489724080563
גא;0.0031683683465067655
םא;0.005838919061276533
אך;0.0031828211164604205
מנ;0.00410940425682251
זא;0.0007868730308100938
ככ;0.00037577201879502437
הד;0.00019912705269479924
נט;0.0033803423058270357
ףמ;0.00021518568597663791
עע;0.00021518568597663791
ףנ;0.0003886189254204953
ךג;0.0002874495357449118
סו;0.00230601973927203
מה;0.003128221763302169
םף;0.001498270485195546
הנ;0.0007949023474510132
ףד;0.0006664332811963039
בו;0.0012204561294197373
סק;0.00021518568597663791
טס;0.002519599561920484
םם;0.0018628014606932833
ûו;0.0008270196140146905
ןט;0.0005909577047716623
סû;0.000178250829428409
ûכ;0.001271843755921621
גט;0.0015898046949020263
הו;0.002448941575480394
םע;0.0004833648617833433
üך;0.0008254137506865065
ףס;0.0008478958372810807
ענ;0.0018660131873496511
טע;0.002852013270854544
חמ;0.00042234205531235645
כמ;0.0038604954409540114
עû;0.0007916906207946455
וט;0.0006600098278835685
רט;0.0008446841106247129
לו;0.002325290099210236
צג;8.189902973737711e-05
וע;0.0037031208347919923
ûז;4.014658320459662e-05
ןû;0.00020233877935116698
כא;0.0029644237038274146
כט;0.0036806387481974185
סמ;0.0016845506312648743
כם;0.0004801531351269756
צו;0.0004576710485324015
וש;0.00047051795515787244
ףש;0.0002055505060075347
טו;0.0014436711320372946
עג;0.0019816353469788895
סü;0.0014870294418982588
ûה;0.0002248208659457411
זט;0.0008864365571574934
עÿ;0.000297084715714015
זו;0.002381495315696672
ü‎;9.15342097064803e-05
סג;0.0010325701200222252
‏ש;0.00016058633281838648
וד;0.002346166322476627
מג;0.005133945060203816
וכ;0.0036597625249310283
טÿ;0.0009137362337366191
נו;0.003341801585950623
לם;0.0013585603756435497
אה;0.0015496581116974297
ûץ;0.0007322736776518424
רו;0.0013248372457516885
כך;0.0002842378090885441
ץד;6.90521231119062e-05
לא;0.0015416287950565104
מד;0.0029949351070629082
ממ;0.0009169479603929869
ךם;0.0005154821283470207
אל;0.002307625602600214
טן;0.0009651238602385028
קף;0.0005058469483779174
הכ;0.00045927691186058536
טג;0.002222514846206469
ץל;0.00013328665623926078
מן;0.001581775378261107
עט;0.00230601973927203
חה;0.00048175899845515947
אÿ;0.0013039610224852983
דן;4.3358309860964355e-05
ÿן;0.000440006551922379
טץ;0.001058263933273167
סף;0.0004978176317369981
םך;0.00023606190924302815
הא;0.002697850391348893
נה;0.0005170879916752045
דו;0.00045124759521966603
םנ;0.0003259902556213246
ףל;0.0008270196140146905
צû;0.000118833886285606
ץץ;8.029316640919324e-06
ץה;0.00010277525300376736
וך;0.0010068763067712834
טמ;0.0007194267710263714
ול;0.00307041068348755
וה;0.0021454334064536437
üה;0.00019430946271024765
גס;0.0023477721858048105
הס;0.00023606190924302815
טט;0.0007852671674819099
יס;0.0005684756181770882
קם;0.0005042410850497336
זף;0.00013971010955199625
זז;6.42345331273546e-06
אם;0.003221361836336833
ןק;1.284690662547092e-05
בט;0.0005074528117061013
גר;0.00041913032865598874
גם;0.0008254137506865065
וס;0.0035634107252399965
גû;0.0017536027543767806
יע;0.00031796093898040526
בנ;0.0007852671674819099
אח;0.0019880588002916246
םמ;0.006071769243863193
יק;0.00018467428274114448
נף;0.0012911141158598275
המ;0.002699456254677077
ין;0.0002762084924476248
ü‏;0.00023445604591484427
למ;0.0023798894523684878
וב;0.0011080456964468668
וו;0.0011465864163232795
דם;0.0001654039228029381
וי;0.0013585603756435497
כף;0.0010165114867403866
ץמ;0.0012895082525316436
יר;0.0001381042462238124
םה;0.00021197395932027018
ס‏;9.15342097064803e-05
נד;0.0001509511528492833
סנ;0.00015416287950565104
üב;0.0002103680959920863
נע;0.0005267231716443077
על;0.0001557687428338349
מק;0.001414765592129985
ומ;0.0006808860511499587
בû;0.002208062076252814
יך;0.00024087949922757974
הל;4.3358309860964355e-05
כü;0.0024585767554494973
עס;0.0010614756599295347
ûי;0.0009137362337366191
ב‎;0.0001830684194129606
חט;0.00042715964529690807
כץ;5.2993489830067545e-05
üו;0.00047372968181424015
וח;0.001165856776261486
חג;0.0006150456546944202
שו;0.0009603062702539512
גמ;0.0039295475640659175
ûח;0.00010438111633195122
פא;0.00011080456964468668
קו;0.002116527866546334
ץף;0.000178250829428409
סל;0.0006616156912117524
‏ם;0.00018949187272569606
מר;0.0006712508711808555
מט;0.0010646873865859025
üם;0.0014195831821145366
