Character;Frequency
ã;0.01561860519503989
ó;0.023449168442816824
ñ;0.043721198462854986
ò;0.05242743474309162
î;0.09288645218213999
é;0.008768689440366533
 ;0.17253814957930488
à;0.06389622676609565
ð;0.035983650559952375
ì;0.026846886112011737
ç;0.013645351093063182
í;0.05579591901818317
ï;0.020531144195045207
ë;0.038998676524521506
ÿ;0.017262319218033284
å;0.07278849373608091
ê;0.02662896444687761
þ;0.005372300561812683
õ;0.007168825508528178
ä;0.02632732897135659
æ;0.00927230109332894
è;0.05564709446638425
â;0.03671448541253634
û;0.016361399163393412
ü;0.016694925614299912
á;0.014870496064122121
ù;0.0029366273167464826
ö;0.0025964569126346727
ø;0.006873833986212469
÷;0.013205521390871739
ý;0.003279455302140416
ô;0.0008916185201524389
