Character;Frequency
ã;0.018875317559473147
ó;0.028338670152460665
ñ;0.05283772108723371
ò;0.0633593376134944
î;0.11225466423003672
é;0.010597092102685324
à;0.07721954399904933
ð;0.04348677892721906
ì;0.03244486268262681
ç;0.01649061051712011
í;0.06743020115044049
ï;0.024812194283768896
ë;0.04713048281886825
ÿ;0.020861770496436588
å;0.08796598139125575
ê;0.032181501096804656
þ;0.006492505435847366
õ;0.00866363265555195
ä;0.031816970121306916
æ;0.01120571430406701
è;0.0672503444576839
â;0.04437000375772019
û;0.01977299515992793
ü;0.02017606685530208
á;0.017971216505705632
ù;0.0035489579552863415
ö;0.003137856943271272
ø;0.008307130996695134
÷;0.01595906975549125
ý;0.003963270693957779
ô;0.0010775342932113734
