symbol;frequency
о;0.1162390211450851
е;0.08734873811588956
а;0.07493621106348577
н;0.0667931217421327
и;0.06362262212528737
т;0.06276157674461688
с;0.05583531928152184
л;0.04987115897971386
р;0.04251332620356881
в;0.042077540399659795
м;0.03517023014543035
к;0.03290919655413428
д;0.03153236604323332
у;0.027092403432392147
п;0.02574925684836338
я;0.02121034770233514
ы;0.02029035544963832
ь;0.019107207518252477
г;0.018454581435103704
б;0.017561957372990544
ч;0.01634723076016202
з;0.016176705880371532
ж;0.010604121228452813
й;0.01047570125725257
х;0.008463086626638933
ш;0.007825197261496745
ю;0.0063031048159594445
э;0.005050483785399702
ц;0.0030926055359533815
щ;0.0029326068833104564
ф;0.0013220941297336444
ъ;0.0002905238692726798
ё;3.999966316073128e-05
