 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
а;0.0;0.0005240961100812877;0.0023918480191629237;0.0007281066764216546;0.0018044382850449703;0.0010552270672777603;0.0;0.0010622619143929454;0.0032465819436579093;0.00010552270672777604;0.000664793052384989;0.004773143767653069;0.0074428682478658035;0.0032360296729851317;0.00305312364799032;2.8139388460740276e-05;0.0010306051023746127;0.002019001122058115;0.00431587870516604;0.0041575946450743756;0.00018642344855240433;8.09007418246283e-05;0.0007703157591127651;6.331362403666563e-05;0.0008336293831494307;0.0011924065860238692;0.00014773178941888645;0.0;0.0;0.0;0.0;0.0009004604307436888;0.0016742936134140464;0.01515306068610864
б;0.0010165354081442424;0.00012662724807333125;1.758711778796267e-05;0.0;2.8139388460740276e-05;0.0019064435682151538;0.0;1.0552270672777604e-05;0.0;0.0006542407817122114;0.0;8.793558893981337e-05;0.0007210718293064696;3.869165913351788e-05;0.0002919461552801804;0.0020823147460947806;0.0;0.0010692967615081306;0.0001829060249948118;2.110454134555521e-05;0.0010763316086233156;0.0;3.165681201833281e-05;3.5174235575925345e-06;1.0552270672777604e-05;3.517423557592534e-05;0.00016883633076444167;1.0552270672777604e-05;0.004150559797959191;0.0001125575538429611;6.331362403666563e-05;7.034847115185069e-06;0.00024973707258906994;0.0002954635788377729
в;0.005244478524370469;0.0;3.517423557592534e-05;1.4069694230370138e-05;0.0003130506966257356;0.005272617912831209;0.0;0.0;0.0003869165913351788;0.0032536167907730945;0.0;0.00011959240095814618;0.0008336293831494307;0.0001301446716309238;0.0006542407817122114;0.00553642467965065;0.0002532544961466625;0.0005944445812331384;0.002208941994168112;0.00022863253124351474;0.000657758205269804;0.0;2.110454134555521e-05;7.034847115185069e-06;5.979620047907309e-05;0.000657758205269804;0.0;0.0001618014836492566;0.0032782387556762422;0.0;0.0;0.0;0.00021104541345555209;0.005364070925328615
г;0.0011290929619872036;0.0;7.034847115185069e-06;7.034847115185069e-06;0.0012662724807333125;0.0005029915687357325;0.0;0.0;3.5174235575925345e-06;0.0006085142754635084;0.0;9.497043605499843e-05;0.001375312611018681;7.034847115185069e-06;0.0002638067668194401;0.007861441651219315;0.0;0.0008054899946886904;0.0001020052831701835;2.110454134555521e-05;0.00051354383940851;0.0;3.5174235575925345e-06;0.0;3.869165913351788e-05;3.5174235575925345e-06;0.0;0.0;0.0;0.0;3.5174235575925345e-06;2.8139388460740276e-05;0.0;0.0008828733129557262
д;0.004168146915747154;2.110454134555521e-05;0.0007984551475735054;1.758711778796267e-05;2.4621964903147742e-05;0.004984189181108621;0.0;0.00043967794469906683;7.034847115185069e-06;0.002198389723495334;0.0;0.00021808026057073716;0.0007456937942096173;4.572650624870295e-05;0.001980309462924597;0.004576168048427888;0.00012662724807333125;0.001157232350447944;0.00042209082691110417;0.00015476663653407152;0.0014456610821705317;7.034847115185069e-06;3.517423557592534e-05;0.00026732419037703265;3.165681201833281e-05;6.683104759425816e-05;0.0;0.0005452006514268428;0.0005100264158509175;2.8139388460740276e-05;0.0;3.517423557592534e-05;0.00036229462643203107;0.0010763316086233156
е;3.165681201833281e-05;0.0007843854533431352;0.00127682475140609;0.003932479537388454;0.0031340243898149486;0.0015863580244742331;7.034847115185069e-06;0.0008476990773798009;0.0010763316086233156;9.848785961259097e-05;0.0018255428263905255;0.0012135111273694245;0.00609217760175027;0.003939514384503639;0.007720744708915614;0.0002251151076859222;0.0008054899946886904;0.006978568338263589;0.004737969532077144;0.00506508992293325;9.14530124974059e-05;0.00011959240095814618;0.0006014794283483234;0.0003200855437409206;0.0009954308667986874;0.0005346483807540653;0.0005240961100812877;0.0;0.0;0.0;0.0;0.00026732419037703265;0.00018642344855240433;0.017580082940847487
ё;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0552270672777604e-05;2.4621964903147742e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ж;0.001125575538429611;1.4069694230370138e-05;0.0;3.5174235575925345e-06;0.0009215649720892441;0.0036088765700899405;0.0;1.4069694230370138e-05;0.0;0.0014175216937097914;0.0;0.00014069694230370137;0.0;0.0;0.0008758384658405411;9.497043605499843e-05;0.0;3.5174235575925345e-06;7.034847115185069e-06;0.0;0.00024973707258906994;0.0;0.0;0.0;7.034847115185069e-05;0.0;0.0;4.9243929806295484e-05;0.0;0.0;1.4069694230370138e-05;0.0;0.0;0.00015124921297647898
з;0.005054537652260473;0.0001618014836492566;0.0007492112177672099;0.0002638067668194401;0.0006472059345970264;0.00030249842595295797;0.0;7.386589470944322e-05;4.220908269111042e-05;0.00033063781441369826;0.0;0.00014773178941888645;0.00023918480191629235;0.0002849113081649953;0.0016391193778381211;0.000559270345657213;2.8139388460740276e-05;0.00030249842595295797;0.0;3.5174235575925345e-06;0.00040450370912314146;0.0;0.0;7.034847115185069e-06;1.758711778796267e-05;3.5174235575925345e-06;0.0;0.00011959240095814618;0.00033063781441369826;1.0552270672777604e-05;3.5174235575925345e-06;0.0;0.00024973707258906994;0.0014491785057281243
и;7.738331826703576e-05;0.000559270345657213;0.0017727814730266374;0.00036229462643203107;0.001769264049469045;0.001962722345136634;0.0;0.0003236029672985132;0.0021561806408042236;0.0004889218745053623;0.0011361278091023886;0.0018607170619664509;0.004889218745053623;0.003014431988856802;0.0027998691518436574;0.0001723537543220342;0.00016531890720684913;0.0005487180749844354;0.0029722229061656916;0.003809369712872715;1.0552270672777604e-05;3.165681201833281e-05;0.0014562133528433093;0.0008406642302646157;0.00102708767881702;0.00037988174421999373;0.00018642344855240433;0.0;0.0;0.0;0.0;0.0003482249322016609;0.0013647603403459034;0.01704191713653583
