 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
а;0.00017684098837270502;0.001488411652136934;0.004353656713747071;0.0013052549141794893;0.0030399808001212625;0.00177051513358863;0.0;0.0013978859080890015;0.00436628821291655;0.0012778866659789517;0.0007978896975387524;0.0066483790628690765;0.00909467940202483;0.004919968926512043;0.005707332374742896;0.0012252554194394562;0.00283366631368644;0.0027810350671469445;0.006692589309962253;0.005759963621282392;0.0006399959579202658;0.00018105148809586467;0.0011831504222078598;0.0001073677429405709;0.0015073589008911524;0.0015010431513064128;0.00021684073574272162;0.0;0.0;0.0;0.00036420822605330913;0.0010336776820356925;0.002562089081542643
б;0.001286307665425271;0.00015999898948006644;5.684174626265518e-05;6.315749584739465e-06;4.210499723159643e-05;0.0022715646006446276;0.0;1.263149916947893e-05;6.315749584739465e-06;0.0008442051944935084;0.0;0.0001073677429405709;0.0008715734426940462;6.94732454321341e-05;0.00036631347591488893;0.0025789310804352813;1.0526249307899107e-05;0.0013536756609958253;0.00025262998338957857;5.052599667791572e-05;0.0012357816687473553;0.0;4.631549695475607e-05;6.315749584739465e-06;1.8947248754218396e-05;3.5789247646856966e-05;0.00021684073574272162;1.263149916947893e-05;0.005014705170283135;0.00015789373961848661;0.00019157773740376377;8.420999446319287e-06;0.0002694719822822172
в;0.006446275076157414;0.00019789348698850322;0.0002863139811748557;0.00031368222937539343;0.0007347322016913577;0.006345223082801582;0.0;6.526274570897447e-05;0.0005347334648412746;0.0041389212278659295;0.0;0.0007452584509992569;0.0011578874238689018;0.00041473422273122484;0.001357886160718985;0.00684627254985758;0.0007915739479540129;0.0009157836897872224;0.003282084534202942;0.0007642056997534752;0.0008694681928324663;1.263149916947893e-05;6.526274570897447e-05;3.5789247646856966e-05;0.00023578798449694002;0.0007894686980924331;8.420999446319287e-06;0.00018736723768060412;0.0038778702450300313;4.210499723159643e-06;0.0003115769795138136;1.4736749031058751e-05;0.00032631372854487233
г;0.0013305179125184473;0.00010526249307899109;9.052574404793233e-05;2.1052498615798214e-05;0.001568411146876967;0.0006273644587507869;0.0;2.1052498615798217e-06;2.736824820053768e-05;0.0007852581983692734;0.0;0.0001389464908642682;0.0015999898948006643;4.631549695475607e-05;0.000389471224392267;0.009511518874617634;0.00011368349252531036;0.0009978884343888354;0.00019999873685008304;6.105224598581483e-05;0.000661048456536064;2.1052498615798217e-06;6.315749584739465e-06;2.1052498615798217e-06;6.73679955705543e-05;8.420999446319287e-06;0.0;0.0;0.0;0.0;2.1052498615798214e-05;3.5789247646856966e-05;3.368399778527715e-05
д;0.005014705170283135;8.210474460161305e-05;0.0011199929263604651;5.8946996124235006e-05;7.368374515529376e-05;0.005989435856194592;0.0;0.000507365216640737;5.263124653949554e-05;0.00271787757129955;0.0;0.000389471224392267;0.0008989416908945838;0.00011157824266373055;0.0024694580876331307;0.005488386389138595;0.0002610509828358979;0.0014547276543516567;0.0005768384620728712;0.0002336827346353602;0.0017663046338654703;8.420999446319287e-06;4.210499723159643e-05;0.0002884192310364356;6.94732454321341e-05;9.052574404793233e-05;0.0;0.0006063119601349887;0.0006442064576434254;3.157874792369732e-05;4.631549695475607e-05;2.9473498062117503e-05;0.0004084184731464854
е;0.00019157773740376377;0.001972619120300293;0.0033705050283892946;0.005136809662254765;0.004762075186893556;0.0022399858527209302;4.210499723159643e-06;0.0012968339147331701;0.0020568291147634856;0.001309465413902649;0.002231564853274611;0.0023936690926162573;0.007616793999195795;0.005997856855640912;0.011065193272463542;0.0018147253806818063;0.0031431380433386735;0.009006258907838478;0.007837845234661675;0.006696799809685412;0.0008463104443550883;0.0001936829872653436;0.0009494676875724995;0.0004757864687170397;0.0020020926183624103;0.0007157849529371394;0.0006399959579202658;0.0;0.0;0.0;0.0004105237230080652;0.00032631372854487233;0.0006442064576434254
ё;0.0;0.0;0.0;0.0;0.0;2.1052498615798217e-06;0.0;0.0;0.0;0.0;0.0;0.0;2.1052498615798217e-06;0.0;0.0;0.0;1.263149916947893e-05;2.3157748477378037e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ж;0.0013494651612726656;2.1052498615798214e-05;1.8947248754218396e-05;1.0526249307899107e-05;0.0011305191756683642;0.004402077460563407;0.0;1.4736749031058751e-05;8.420999446319287e-06;0.0017010418881564958;0.0;0.00018736723768060412;2.1052498615798217e-06;1.4736749031058751e-05;0.0011242034260836248;0.00014947274017216734;8.420999446319287e-06;6.315749584739465e-06;1.6841998892638574e-05;2.1052498615798217e-06;0.0002799982315901163;0.0;2.1052498615798217e-06;0.0;6.315749584739464e-05;0.0;0.0;6.526274570897447e-05;0.0;0.0;2.3157748477378037e-05;0.0;2.1052498615798217e-06
з;0.00602522510384145;0.000248419483666419;0.0010547301806514905;0.00040210272356174594;0.0009284151889567013;0.00042315522217754414;0.0;0.00011578874238689019;7.999949474003322e-05;0.0004168394725928047;0.0;0.0003389452277143513;0.00035578722660698983;0.0004378919712086029;0.0023305115967688626;0.0007157849529371394;0.00018315673795744447;0.00034526097729909073;0.00020210398671166287;0.00011368349252531036;0.0005010494670559975;6.315749584739465e-06;4.210499723159643e-06;4.210499723159643e-06;5.473649640107536e-05;6.315749584739465e-06;0.0;0.00015157799003374717;0.0003473662271606706;2.526299833895786e-05;4.84207468163359e-05;4.210499723159643e-06;0.00030526122992907413
и;0.000248419483666419;0.0016715683900943783;0.004343130464439172;0.0008189421961545506;0.0030673490483218;0.0029705075546891282;0.0;0.0005789437119344509;0.0030062968023359853;0.0017136733873259749;0.0013157811634873886;0.0031073487956918165;0.005953646608547736;0.004526287202396616;0.005296808651734831;0.0017789361330349492;0.0021957756056277537;0.001027361932450953;0.005473649640107536;0.005439965642322259;0.0005199967158102159;0.00012631499169478929;0.0018884091258371;0.001025256682589373;0.0018673566272213017;0.0005557859634570728;0.00023999848422009967;0.0;0.0;0.0;0.0002989454803443347;0.00039578697397700644;0.002170512607288796
й;0.0001389464908642682;0.00029473498062117503;0.0005852594615191904;0.0001557884897569068;0.0008926259413098444;9.68414936326718e-05;0.0;0.00013052549141794894;0.00018947248754218394;0.00047157596899388005;0.0;0.0005978909606886694;0.00013684124100268841;0.0004905232177480984;0.0011157824266373054;0.0005747332122112913;0.0007094692033523999;0.000248419483666419;0.0015305166493685303;0.0008084159468466515;0.00015157799003374717;8.420999446319286e-05;9.894674349425161e-05;0.0001642094892032261;0.00040210272356174594;0.00018315673795744447;1.0526249307899107e-05;0.0;0.0;0.0;9.052574404793233e-05;8.420999446319287e-06;0.00011368349252531036
к;0.008195737711130245;0.0002610509828358979;0.0006799957052902824;6.73679955705543e-05;0.0002442089839432593;0.0009747306859114574;0.0;0.00020631448643482252;0.0001557884897569068;0.002821034814516961;0.0;0.00035368197674541003;0.0009347309385414408;0.0002652614825590575;0.0010715721795441291;0.009844148352747245;0.0003494714770222504;0.0020105136178087298;0.0005936804609655097;0.0012463079180552543;0.0017199891369107142;2.3157748477378037e-05;0.00017052523878796554;4.210499723159643e-05;0.00017052523878796554;4.210499723159643e-05;8.420999446319287e-06;0.0;0.0;0.0;0.00030736647979065393;0.0;0.00014947274017216734
л;0.005288387652288512;0.0003999974737001661;0.0008252579457392901;0.0002757877318669566;0.00031578747923697323;0.005816805367545047;0.0;0.0004863127180249388;0.00022947223491220055;0.008915733163790544;0.0;0.0007284164521066183;0.00043368147148544324;0.0012694656665326325;0.0011284139258067843;0.008279947705593439;0.0005831542116576106;0.00013684124100268841;0.00236209034469256;0.00036420822605330913;0.0017178838870491344;3.368399778527715e-05;0.0002631562326974777;1.8947248754218396e-05;0.0006484169573665851;7.368374515529376e-05;6.315749584739465e-06;0.005101020414607907;0.0008947311911714241;0.0;0.0001242097418332095;0.001014730433281474;0.002134723359641939
