 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я; 
а;1.7587117787962672e-06;0.000506508992293325;0.0024024002898357013;0.0007597634884399875;0.001855440926630062;0.0010411573730473903;0.0;0.0010253289670382239;0.003262410349667076;0.00013190338340972004;0.0006665517641637853;0.00478721346188344;0.007347897811810805;0.0032852736027914275;0.003149852795824115;2.4621964903147742e-05;0.001058744490835353;0.002071762475422003;0.0041751817628623384;0.004182216609977523;0.0001670776189856454;8.969430071860963e-05;0.000816042265361468;5.276135336388802e-05;0.0008265945360342457;0.0011677846211207215;0.00017587117787962674;0.0;0.0;0.0;0.0;0.0008441816538222083;0.001691880731202009;0.015031709573371696
б;0.001058744490835353;0.00013190338340972004;3.517423557592534e-05;3.5174235575925345e-06;3.341552379712908e-05;0.0018923738739847836;0.0;7.034847115185069e-06;3.5174235575925345e-06;0.0006753453230577667;0.0;8.793558893981337e-05;0.0007281066764216546;4.9243929806295484e-05;0.0002849113081649953;0.0021297999641222798;0.0;0.0011273342502084074;0.00019697571922518194;3.693294735472161e-05;0.0010095005610290574;0.0;3.869165913351788e-05;5.276135336388802e-06;1.4069694230370138e-05;2.9898100239536544e-05;0.00018114731321601553;1.0552270672777604e-05;0.004189251457092709;0.00013190338340972004;5.276135336388802e-05;7.034847115185069e-06;0.00021632154879194088;0.00030249842595295797
в;0.005313068283743523;3.5174235575925345e-06;3.517423557592534e-05;1.0552270672777604e-05;0.00027787646104981023;0.005181164900333803;0.0;0.0;0.0003587772028744385;0.003322206550146149;0.0;0.0001301446716309238;0.0007896615886795241;0.00013366209518851633;0.0006806214583941555;0.0053798993313377815;0.0002374260901374961;0.0005962032930119346;0.002150904505467835;0.0002268738194647185;0.0006261013932514712;0.0;2.110454134555521e-05;8.793558893981336e-06;5.979620047907309e-05;0.0006331362403666562;3.5174235575925345e-06;0.0001565253483128678;0.0032395470965427245;3.5174235575925345e-06;0.0;0.0;0.00023214995480110728;0.0053394489604254676
г;0.001097436149968871;0.0;3.5174235575925345e-06;7.034847115185069e-06;0.0012715486160697013;0.0005100264158509175;0.0;0.0;1.7587117787962672e-06;0.0006120316990211011;0.0;8.61768771610171e-05;0.0013278273929911819;5.276135336388802e-06;0.0002444609372526812;0.007880787480786074;0.0;0.0008178009771402642;8.265945360342457e-05;2.110454134555521e-05;0.0005117851276297138;0.0;1.7587117787962672e-06;0.0;4.7485218027499216e-05;5.276135336388802e-06;0.0;0.0;0.0;0.0;1.7587117787962672e-06;2.9898100239536544e-05;0.0;0.0008494577891585972
д;0.004173423051083543;2.110454134555521e-05;0.0008582513480525785;1.758711778796267e-05;2.4621964903147742e-05;0.0049753956222146406;0.0;0.0004185734033535116;5.276135336388802e-06;0.0021808026057073713;0.0;0.0002374260901374961;0.0007245892528640621;4.9243929806295484e-05;0.0019099609917727462;0.004530441542179185;0.00012662724807333125;0.0011924065860238692;0.00036932947354721614;0.00014245565408249765;0.001435108811497754;3.5174235575925345e-06;3.165681201833281e-05;0.00023918480191629235;3.341552379712908e-05;7.034847115185069e-05;0.0;0.000506508992293325;0.0005381658043116578;2.638067668194401e-05;0.0;2.4621964903147742e-05;0.00033063781441369826;0.00114492136799637
е;3.165681201833281e-05;0.0008178009771402642;0.0012715486160697013;0.003965895061185583;0.0031094024249118004;0.0015124921297647899;3.5174235575925345e-06;0.0008547339244949859;0.001099194861747667;0.00011079884206416483;0.0018642344855240433;0.0012416505158301648;0.006014794283483234;0.003849820083785029;0.007731296979588391;0.00023390866657990356;0.0007914203004583203;0.007163233075037197;0.004817111562122976;0.00496132592798427;0.00010376399494897977;0.00011783368917934991;0.0005874097341179533;0.00036932947354721614;0.0010235702552594276;0.0005188199747448988;0.000532889668975269;0.0;0.0;0.0;0.0;0.00026556547859823634;0.00020225185456157073;0.017803439336754615
ё;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7587117787962672e-06;0.0;0.0;0.0;8.793558893981336e-06;1.934582956675894e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.5174235575925345e-06
ж;0.001125575538429611;1.2310982451573871e-05;0.0;7.034847115185069e-06;0.0009338759545408179;0.0036739489059054026;0.0;1.2310982451573871e-05;0.0;0.0014034519994794213;0.0;0.0001442143658612939;0.0;1.7587117787962672e-06;0.000914530124974059;0.00010552270672777604;0.0;3.5174235575925345e-06;8.793558893981336e-06;0.0;0.00023390866657990356;0.0;0.0;0.0;5.100264158509175e-05;0.0;0.0;5.452006514268429e-05;0.0;0.0;1.758711778796267e-05;0.0;0.0;0.00015476663653407152
з;0.005014087281348158;0.00015476663653407152;0.0007755918944491539;0.00028139388460740274;0.0006858975937305442;0.0003341552379712908;0.0;7.914203004583203e-05;4.3967794469906686e-05;0.00029898100239536546;0.0;0.000177629889658423;0.00026204805504064383;0.0002954635788377729;0.0017639879141326561;0.0005364070925328615;1.934582956675894e-05;0.0002602893432618476;0.0;1.0552270672777604e-05;0.00037988174421999373;0.0;0.0;3.5174235575925345e-06;2.2863253124351474e-05;1.7587117787962672e-06;0.0;0.00012662724807333125;0.00029018744350138413;2.110454134555521e-05;1.7587117787962672e-06;0.0;0.0002374260901374961;0.001435108811497754
и;7.210718293064695e-05;0.0005434419396480466;0.0018185079792753403;0.00040626242090193777;0.00176222920235386;0.001973274615809412;0.0;0.0003271203908561057;0.00206824505186441;0.0005416832278692503;0.001099194861747667;0.0017956447261509888;0.0047713850558742735;0.0029827751768384692;0.002794593016507269;0.00016356019542805285;0.0001723537543220342;0.000539924516090454;0.002919461552801804;0.003867407201572992;1.4069694230370138e-05;3.693294735472161e-05;0.0014298326761613654;0.0008195596889190606;0.0010182941199230388;0.00037460560888360496;0.00019169958388879315;0.0;0.0;0.0;0.0;0.00033063781441369826;0.0013313448165487743;0.016983879647835553
й;0.0;1.7587117787962672e-06;5.276135336388802e-06;0.0;0.00034119008508647585;7.034847115185069e-06;0.0;0.0;3.5174235575925345e-06;0.0;0.0;9.14530124974059e-05;1.0552270672777604e-05;7.738331826703576e-05;0.00042912567402628925;5.979620047907309e-05;0.0;5.276135336388802e-06;0.000434401809362678;0.0004256082504686967;0.0;0.0;1.7587117787962672e-06;0.00010024657139138724;9.321172427620216e-05;0.00010728141850657231;3.5174235575925345e-06;0.0;0.0;0.0;0.0;0.0;1.7587117787962672e-06;0.006551201376016095
