ANALIZE RESULT:
---------------------------------------

INDECES COINCIDENCE:

2: 0.035403
3: 0.033658
4: 0.035375
5: 0.033601
6: 0.035353
7: 0.043212
8: 0.035366
9: 0.033618
10: 0.035441
11: 0.033570
12: 0.035279
13: 0.033743
14: 0.056671
15: 0.033551
16: 0.035329
17: 0.033553
18: 0.035251
19: 0.033429
20: 0.035329
21: 0.043282
22: 0.035166
23: 0.033776
24: 0.035362
25: 0.033598
26: 0.035505
27: 0.033646
28: 0.056468
29: 0.033693
30: 0.035294
31: 0.033670
32: 0.035324
33: 0.033539
34: 0.035366
35: 0.043098
36: 0.035000
37: 0.033258
38: 0.035031
39: 0.033675
40: 0.035097
41: 0.033430
42: 0.056546
43: 0.033622
44: 0.035380
45: 0.033352
46: 0.035374
47: 0.033571
48: 0.035398
49: 0.043389
50: 0.035307
51: 0.033445
52: 0.035494
53: 0.033657
54: 0.035322
55: 0.033506
56: 0.056596
57: 0.033667
58: 0.035645
59: 0.033710
60: 0.034814
61: 0.033400
62: 0.035526
63: 0.043032
64: 0.035109

The most possible key length: 14
The most possible key: ‎במלקצעםטךפףüמ
