symbol;frequency
 ;0.1646063394413286
о;0.09710534137414945
е;0.07297058207981372
а;0.0626012356687226
н;0.055798550472301214
и;0.05314993519158493
т;0.052430623339119485
с;0.0466444717630527
л;0.04166205005636661
р;0.03551536319972423
в;0.035151310501777173
м;0.029380987303881997
к;0.02749213417540305
д;0.02634193869493263
у;0.02263282207671839
п;0.021510765935219726
я;0.017718990008775956
ы;0.01695043431310994
ь;0.015962040031727104
г;0.015416840339149383
б;0.014671147856397919
ч;0.013656372944729062
з;0.013513917541184561
ж;0.008858615650045112
й;0.008751334420215301
х;0.0070700089166530365
ш;0.006537120184875457
ю;0.005265573805089351
э;0.004219142137077273
ц;0.002583543059344107
щ;0.0024498811992282785
ф;0.0011044690546413202
ъ;0.0002427017986313729
ё;3.341546502895714e-05
