 ;а;б;в;г;д;е;ё;ж;з;и;й;к;л;м;н;о;п;р;с;т;у;ф;х;ц;ч;ш;щ;ь;ы;ъ;э;ю;я
а;0.0001978930703741442;0.001402093456055107;0.004404173438539465;0.0014063039469141313;0.0030441848910746014;0.0017010383070458354;0.0;0.001402093456055107;0.004336805584795075;0.0012336738216941331;0.0008884135712541368;0.006522050340628711;0.009069397310338439;0.0049557477410716545;0.005621005296797501;0.0012547262759892547;0.002854712802418506;0.0027536610218019215;0.006543102794923832;0.0057683724768633525;0.0006231526471356031;0.00018947208865609553;0.0012378843125531575;0.00010947276233463297;0.0014736718006585208;0.001574723581275105;0.00022736650638731463;0.0;0.0;0.0;0.0003831546681712154;0.0010694646781921836;0.0025768204057228994
б;0.0013305151114516931;0.00013894619834780339;5.8946872026340834e-05;4.210490859024345e-06;4.210490859024345e-05;0.0022020867192697326;0.0;2.526294515414607e-05;8.42098171804869e-06;0.0008505191535229177;0.0;0.00010947276233463297;0.000867361116959015;6.315736288536518e-05;0.00032420779614487455;0.0025431364788507044;8.42098171804869e-06;0.001279989221143401;0.00023578748810536334;5.052589030829214e-05;0.0012757787302843766;0.0;3.368392687219476e-05;4.210490859024345e-06;1.684196343609738e-05;5.052589030829214e-05;0.0002147350338102416;2.1052454295121725e-05;0.005069430994265311;0.00016420914350194946;0.00020210356123316855;1.2631472577073035e-05;0.0002694714149775581
в;0.006543102794923832;0.0002147350338102416;0.00028210288755463114;0.000366312704735118;0.0007873617906375525;0.006496787395474564;0.0;5.052589030829214e-05;0.0005263113573780432;0.0040883866241126395;0.0;0.0007242044277521874;0.001195779403962914;0.0004126281041843858;0.0014105144377731557;0.00697678335340334;0.0008084142449326742;0.0008926240621131611;0.0031957625619994778;0.0007578883546243821;0.0008505191535229177;8.42098171804869e-06;5.4736381167316486e-05;4.63153994492678e-05;0.0002147350338102416;0.0008336771900868203;8.42098171804869e-06;0.00019368257951511987;0.004084176133253615;4.210490859024345e-06;0.00031578681442682587;1.2631472577073035e-05;0.0003031553418497528
г;0.0012673577485663278;8.42098171804869e-05;8.842030803951124e-05;1.2631472577073035e-05;0.0015578816178390077;0.000585258229404384;0.0;4.210490859024345e-06;3.368392687219476e-05;0.0007957827723556012;0.0;0.0001305252166297547;0.0016168284898653484;3.78944177312191e-05;0.0003831546681712154;0.009397815597342337;0.00013894619834780339;0.0010442017330380376;0.00017263012521999814;6.736785374438952e-05;0.0006778890283029196;0.0;8.42098171804869e-06;4.210490859024345e-06;5.4736381167316486e-05;8.42098171804869e-06;0.0;0.0;0.0;0.0;2.526294515414607e-05;2.526294515414607e-05;4.210490859024345e-05
д;0.0050231155948160435;7.57888354624382e-05;0.001132622041077549;7.157834460341386e-05;7.57888354624382e-05;0.006164158617611641;0.0;0.00047999595792877535;6.315736288536518e-05;0.0026905036589165566;0.0;0.00037894417731219106;0.0009347289707034046;0.00014736718006585207;0.0025389259879916803;0.005435743699000429;0.00028210288755463114;0.0014568298372224233;0.0005726267568273109;0.00020210356123316855;0.0016505124167375432;4.210490859024345e-06;4.210490859024345e-05;0.00029473436013170414;9.26307988985356e-05;0.00011368325319365731;0.0;0.00061052117455853;0.0006357841197126761;3.368392687219476e-05;3.78944177312191e-05;2.526294515414607e-05;0.00046315399449267793
е;0.0001978930703741442;0.0020462985574858316;0.0033262877786292325;0.005162061793163847;0.004572593072900439;0.002307348990745341;8.42098171804869e-06;0.0012336738216941331;0.002109455920371197;0.0012926206937204738;0.002231560155282903;0.0024084007713619255;0.007583094037102845;0.005797845912876523;0.010955697215181345;0.0017852481242263223;0.003014711455061431;0.008917819639413562;0.007890459869811623;0.00687994206364578;0.000816835226650723;0.00017684061607902248;0.0009978863335887698;0.0004210490859024345;0.002101034938653148;0.0007284149186112117;0.0006568365740077978;0.0;0.0;0.0;0.00041683859504341016;0.00029473436013170414;0.0006736785374438952
ё;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.210490859024345e-06;0.0;0.0;0.0;1.684196343609738e-05;2.9473436013170417e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ж;0.0013599885474648635;2.9473436013170417e-05;1.2631472577073035e-05;4.210490859024345e-06;0.0012084108765399871;0.004446278347129708;0.0;4.210490859024345e-06;1.2631472577073035e-05;0.0016799858527507137;0.0;0.00018105110693804685;0.0;8.42098171804869e-06;0.0011157800776414515;0.00015578816178390078;0.0;8.42098171804869e-06;1.2631472577073035e-05;4.210490859024345e-06;0.00025683994240048504;0.0;4.210490859024345e-06;0.0;7.157834460341386e-05;0.0;0.0;6.736785374438952e-05;0.0;0.0;3.368392687219476e-05;0.0;4.210490859024345e-06
з;0.006134685181598471;0.0002526294515414607;0.001086306641628281;0.00038736515903023974;0.0009220974981263316;0.0004126281041843858;0.0;0.00014736718006585207;8.842030803951124e-05;0.0004084176133253615;0.0;0.00032420779614487455;0.0003368392687219476;0.0003915756498892641;0.002273665063873146;0.0006736785374438952;0.00016420914350194946;0.00031157632356780155;0.00021052454295121726;9.684128975755994e-05;0.0005726267568273109;8.42098171804869e-06;4.210490859024345e-06;4.210490859024345e-06;7.57888354624382e-05;8.42098171804869e-06;0.0;0.0001515776709248764;0.00035368123215804496;2.1052454295121725e-05;3.78944177312191e-05;8.42098171804869e-06;0.00031999730528585024
и;0.00022736650638731463;0.0016294599624424215;0.00411786006012581;0.0007705198272014551;0.0030231324367794798;0.002938922619598993;0.0;0.0005136798848009701;0.003098921272241918;0.001755774688213152;0.0013010416754385226;0.0031999730528585024;0.0059031081843521314;0.00466101338093995;0.005225219156049212;0.0017726166516492492;0.002172613283256562;0.001035780751319989;0.005519953516180917;0.00553258498875799;0.0005726267568273109;0.00011368325319365731;0.0017894586150853467;0.0010020968244477942;0.0019115628499970527;0.0005305218482370674;0.0002610504332595094;0.0;0.0;0.0;0.0002694714149775581;0.0003957861407482884;0.0022273496644238783
